#made from index.txt file
#1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24
#num|file|title|subtitle|subtitle2|year|cat|catnum|subcat|subcatnum|scripture|parable|miracle|txt|mp3|wma|rm|link|comment|synopsis|audiofirst|tooltip|indextitle|note|tag1|tag2|tag3|tag4|tag5|tag6|tag7|tag8|tag9
#1:num|2:file|3:title|4:subtitle|5:subtitle2|6:year|7:cat|8:catnum|9:subcat|10:subcatnum|11:scripture|12:parable|13:miracle|14:txt|15:mp3|16:wma|17:rm|18:link|19:comment|20:synopsis|21:audiofirst|22:tooltip|23:indextitle|24:note|25:tag1|26:tag2|27:tag3|28:tag4|29:tag5|30:tag6|31:tag7|32:tag8|33:tag9
001|personal-savior|Is Jesus your Personal Savior?||||||||||||||||||||||||||||||
002|about-crossing-oneself|Why do Orthodox Christians "cross themselves" different than Roman Catholics?||||||||||||||||||||||||||||||
003|whybless|Why do Orthodox Christians Bless things with Holy Water?||||||||||||||||||||||||||||||
004|40days|Why did Jesus fast for forty days?||||||||||||||||||||||||||||||
005|excerpts-from-on-end-of-our-life-st-symeon-thessaloniki|THE MEANING OF THE ORTHODOX CHURCH'S MEMORIAL SERVICES|||||||||||||||||By St Symeon of Thessolonika |||||||||||||
006|epitimia-sacrament-confession|What is an Epitimia?||||||||||||||||||||||||||||||
007|orthodox-baptism-explanation|Orthodox Baptism |||||||||||||||||Thoughts on the Holy Mystery A Summary of the Baptism Service Miscellaneous Scriptures and Commentary of the Holy Fathers  Concerning the Mystery Also available in <A HREF="orthodox-baptism-explanation.pdf">PDF</A> and <A HREF="orthodox-baptism-explanation.rtf">RTF</A> formats  |||||||||||||
008|anathema-st-john|The Word "Anathema" and it's meaning|||||||||||||||||by Saint John Maximovitch |||||||||||||
009|anathema-bp-theophan|What is an Anathema? |||||||||||||||||by Bishop Theophan the Recluse |||||||||||||
010|prayer-is-a-painful-and-bloody-struggle-by-elder-ephraim-of-katounakia|Prayer is a painful and bloody struggle By Elder Ephraim of Katounakia|||||||||||||||||This is a transcipt for a YouTube vieo (link in the document) Other Formats: FORMAT:doc |||||||||||||
011|prayer-gregory-palamas|&quot;Prayer without Ceasing&quot; is necessary for all Christians, |||||||||||||||||by St Gregory Palamas |||||||||||||
012|on-prayer-sophrony|On prayer by Archimandrite Sophrony |||||||||||||||||New agers, and modernist, reductionist dabblers in prayer take note! |||||||||||||
013|bishop-theophan-the-recluse-on-prayer|Bishop Theophan the Recluse - ON PRAYER|||||||||||||||||From His Letters |||||||||||||
014|prayer-rule-theophan-the-recluse|A Prayer Rule by St. Theophan the Recluse||||||||||||||||||||||||||||||
015|pray-for-someone|How does an Orthodox Christian properly pray for someone else?||||||||||||||||||||||||||||||
016|why-so-many-prayers|Why so many prayers? |||||||||||||||||Why do we have in our church so many prayers, isn't it in contradiction with Matthew? |||||||||||||
017|prayer-to-saints-alexei-khomiakov|Why pray to Saints? Why do Protestants NOT pray to Saints?|||||||||||||||||Alexi Khomiakov |||||||||||||
018|about-prayer-for-the-dead|What do the Orthodox believe Concerning  prayer for the dead?||||||||||||||||||||||||||||||
019|life-after-death-john-maximovitch|Life After Death |||||||||||||||||by St. John Maximovitch A description of the first 40 days after death |||||||||||||
020|caring-for-dead-blessed-augustine-hippo|From a Treatise on Caring for the Dead|||||||||||||||||Blessed Augustine of Hippo |||||||||||||
021|commemoration-dead-orthodox-church|Commemoration of the Dead in the Orthodox Church |||||||||||||||||Traditional days of remembrance |||||||||||||
022|communion-with-the-saints-fr-michael-pomazansky|Communion with  the Saints|||||||||||||||||By Protopresbyter Michael Pomazansky |||||||||||||
023|orthodox-mind|The Orthodox Mind|||||||||||||||||From a talk given at the Southwest Missions Conference, Dallas, July 1995, by Priest John Whiteford, <a href="http://www.saintjonah.org">St Jonah Orthodox Church</a>, Spring Texas Also in formats: <a href="https://www.orthodox.net//articles/orthodox-mind.doc">WORD</a> &amp; <a href="https://www.orthodox.net//articles/orthodox-mind.pdf">PDF</a> |||||||||||||
024|orthodox-st-john|What do we mean by the word ORTHODOX? |||||||||||||||||by St John Maximovich Also available in <A HREF=orthodox-st-john.pdf>PDF</A>  format  |||||||||||||
025|true-orthodoxy|True Orthodoxy |||||||||||||||||by +ARCHBISHOP AVERKY of Syracuse and Holy Trinity Monastery |||||||||||||
026|what-is-orthodoxy|What is Orthodoxy? |||||||||||||||||By Archbishop Averky of Syracuse and Holy Trinity Monastery |||||||||||||
027|apostasy-vl-averky|Thoughts on the church and apostasy of our Age.|||||||||||||||||By Archbishop Averky |||||||||||||
028|for-there-must-also-be-heresies-among-you-archbishop-averky|For There Must Also be Heresies Among You |||||||||||||||||By Archbishop Averky |||||||||||||
029|sacraments-overview-bp-nicolai|The Sacraments |||||||||||||||||by Rt. Rev. Nicholai, Bishop of  Ochrida |||||||||||||
030|excerpts-from-on-end-of-our-life-st-symeon-thessaloniki|THE MEANING OF THE ORTHODOX CHURCH'S MEMORIAL SERVICES||||||||||||||||||||||||||||||
031|baptism-thoughts|Thoughts on Holy Baptism||||||||||||||||||||||||||||||
032|orthodox-baptism-explanation|Orthodox Baptism |||||||||||||||||Thoughts on the Holy Mystery A Summary of the Baptism Service Miscellaneous Scriptures and Commentary of the Holy Fathers  Concerning the Mystery Also available in <A HREF="orthodox-baptism-explanation.pdf">PDF</A> and <A HREF="orthodox-baptism-explanation.rtf">RTF</A> formats  |||||||||||||
033|q_sponsor|Can I be the sponsor at a Roman Catholic baptism? |||||||||||||||||An Orthodox Christian response |||||||||||||
034|sacrament-baptism-cyprian-of-carthage|The Sacrament of Christian Baptism|||||||||||||||||A letter by our Holy Orthodox Father St Cyprian of Carthage written to a new convert |||||||||||||
035|confession-and-communion|Confession and Communion |||||||||||||||||What is their relationship? How do we stay "sinless" between confession and communion? Also in <a href="https://www.orthodox.net//articles/confession-and-communion.doc">WORD format</a> |||||||||||||
036|matrimony|The Sacrament of Holy Matrimony||||||||||||||||||||||||||||||
037|communion-pat-symeon|Concerning the communion and guarding  and veneration of the Divine Mysteries |||||||||||||||||by Kallinikos, Patriarch of Constantinople |||||||||||||
038|prosphora|About Prosphora||||||||||||||||||||||||||||||
039|how-to-behave|How To Behave In Church||||||||||||||||||||||||||||||
040|olive-oil-usage|Olive Oil Usage||||||||||||||||||||||||||||||
041|orthodox-christian-fasting-john-chrysostom|Orthodox Christian Fasting|||||||||||||||||by St John Chrysostom |||||||||||||
042|true-fasting-saint-john-chrysostom|True Fasting, by St John Chrysostom||||||||||||||||||||||||||||||
043|on-fasting|ON FASTING|||||||||||||||||Also in <a href="../articles/on-fasting.doc">Word format</a> |||||||||||||
044|40days|Why did Jesus fast for forty days?|||||||||||||||||An Orthodox Christian explanation |||||||||||||
045|fastrule|Fasting Rules||||||||||||||||||||||||||||||
046|fasting-and-oil|Fasting and &quot;Oil&quot; days||||||||||||||||||||||||||||||
047|apostles-fast-skipping|The Apostles Fast |||||||||||||||||is it ever skipped by those using the New Calendar or Old Calendar? |||||||||||||
048|lack-of-faith-vs-gods-providence|LACK OF FAITH VS. GOD'S PROVIDENCE - St John (Maximovich) of Tobolsk||||||||||||||||||||||||||||||
049|rule-of-attention|Vigilance|||||||||||||||||by Bishop Ignatii Brianchaninov |||||||||||||
050|lack-of-faith-vs.-gods-providence-saint-john-maximovich-of-tobolsk|LACK OF FAITH VS. GOD'S PROVIDENCE, Saint John (Maximovich) of Tobolsk||||||||||||||||||||||||||||||
051|flesh-spirit|On the Struggle Between the Flesh and Spirit Which Occurs in a Christian|||||||||||||||||St. Tikhon of Zadonsk |||||||||||||
052|fear-of-the-lord-bishop-nicolai|The fear of the Lord is the beginning of wisdom|||||||||||||||||Bishop Nikolai of Zicha and Ochrid |||||||||||||
053|despondency-field-flowers-st-paisius-velichkovsky|Despondency, Slothfulness, Weakness |||||||||||||||||Field Flowers, St. Paisius Velichkovsky |||||||||||||
054|repentance-field-flowers-st-paisius-velichkovsky|Repentance |||||||||||||||||Field Flowers, St. Paisius Velichkovsky |||||||||||||
055|on-reading-holy-fathers|On Reading the Holy Fathers||||||||||||||||||||||||||||||
056|prayer-gregory-palamas|&quot;Prayer without Ceasing&quot; is necessary for all Christians, |||||||||||||||||by St Gregory Palamas |||||||||||||
057|seriousness-of-our-life-nikolai-bishop-ochrid-zicha|The Seriousness of our Life |||||||||||||||||by St Nikolai Bishop of Ochrid and Zicha |||||||||||||
058|orthodox-mind|The Orthodox Mind|||||||||||||||||From a talk given at the Southwest Missions Conference, Dallas, July 1995, by Priest John Whiteford, <a href="http://www.saintjonah.org">St Jonah Orthodox Church</a>, Spring Texas Also in formats: <a href="https://www.orthodox.net//articles/orthodox-mind.doc">WORD</a> &amp; <a href="https://www.orthodox.net//articles/orthodox-mind.pdf">PDF</a> |||||||||||||
059|redeem|A lesson from St. Dimitri of Rostov on "Redeeming the Time"||||||||||||||||||||||||||||||
