#made from index.txt file
#1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24
#num|file|title|subtitle|subtitle2|year|cat|catnum|subcat|subcatnum|scripture|parable|miracle|txt|mp3|wma|rm|link|comment|synopsis|audiofirst|tooltip|indextitle|note|tag1|tag2|tag3|tag4|tag5|tag6|tag7|tag8|tag9
#1:num|2:file|3:title|4:subtitle|5:subtitle2|6:year|7:cat|8:catnum|9:subcat|10:subcatnum|11:scripture|12:parable|13:miracle|14:txt|15:mp3|16:wma|17:rm|18:link|19:comment|20:synopsis|21:audiofirst|22:tooltip|23:indextitle|24:note|25:tag1|26:tag2|27:tag3|28:tag4|29:tag5|30:tag6|31:tag7|32:tag8|33:tag9
001|GodHeWhois;TheTrinity.Itisappropriatetostartatthebeginningwhenexplainingsomething.WeareattemptingtowriteconcisecatecheticallettersabouttheOrthodoxChristianfaith,andwewillstartatthebeginning....Actually,wewillstartbeforethebeginning.Beforeallthings,therewasGod...|Catechetical Letter 1 First things: God He Who is; The Trinity (HTML format)|||||||||||||||||He Who Is The Holy Trinity 2015 |||||||||||||
002|catechetical-letter-01_2015+first-things+god-he-who-is-the-trinity-rus|Catechetical Letter 01 (Adobe PDF format)|||||||||||||||||First Things God He Who Is The Trinity Rus 2015 |||||||||||||
003|catechetical-letter-02_2015+image-and-likeness.html#Allofourcatecheticalletterswillexplainwhatandwhywebelieveandhowweshouldlivebecauseofthisbelief.Inourfirstletter,weaddressedthefundamentalfactoftheuniverse-God.Alllife,allblessedness,allgoodness,allknowledgecomesfromHim.NowwewilladdressthemostimportantscriptureaboutmanintheBible.MostoftheBibleisdirectlyrelatedtoman,sinceheisthecrownofGod#39;screation.Theearliestreferencetomanisthemostimportant,becauseitteachesus,ifwelookatitwithspiritualeyes,when,how,andwhywewerecreated,andofcriticalimportance,theimplicationsofourcreationbyGod--thatis,howshouldwelive?WhoisMan?WhywasHecreated.Whataretheimplications?|Catechetical Letter 2: Who is Man? Why was He created. What are the implications?  (HTML format)|||||||||||||||||Image And Likeness 2015 |||||||||||||
004|catechetical-letter-10_2015+transfiguration|Catechetical Letter 10 (Word DOC format)|||||||||||||||||Transfiguration 2015 |||||||||||||
005|catechetical-letter-10_2016+symbol-of-faith-01+introduction-dogma-history|Catechetical Letter 10 (Adobe PDF format)|||||||||||||||||Symbol Of Faith 01 Introduction Dogma History 2016 |||||||||||||
006|catechetical-letter-11_2016+symbol-of-faith-02+i-believe-in-one-god|Catechetical Letter 11 (Word DOC format)|||||||||||||||||Symbol Of Faith 02 I Believe In One God 2016 |||||||||||||
007|catechetical-letter-12_2018+symbol-of-faith-03+and-in-one-lord-jesus-christ|Catechetical Letter 12 (Word DOC format)|||||||||||||||||Symbol Of Faith 03 And In One Lord Jesus Christ 2018 |||||||||||||
008|catechism-001_2018+one-god-in-trinity|One God in Trinity - 001 (Word DOC format)|||||||||||||||||One God In Trinity 2018-09-13 https://www.orthodox.net//catechism/catechism_2019+the-cross-practical-things.mp3 Catechism (mp3 format) The Cross Practical Things 2019 |||||||||||||
009|catechism_2019-02-10+homiletics-01+first-have-an-inner-life.mp3#CatechesisofyoungmenatSt.BarnabasOrthodoxorphanageandschoolinKenya.Iwasaskedtoteachabouthomiletics,butitdoesn’tmatterifyou’renottopreachifyoudon’thowtobeaChristian.So,westartthere,abouttheinnerlife.Attheendofthesession,thereareseveralquestionsandanswers.|Homiletics part one. First have an inner life. Without an inner life it doesn’t matter if you know how to preach. (mp3 format)|||||||||||||||||2019-02-10 <span class='n12'>SYNOPSIS:Catechesis of young men at St. Barnabas Orthodox orphanage and school in Kenya. I was asked to teach about homiletics, but it doesn’t matter if you’re not to preach if you don’t how to be a Christian. So, we start there, about the inner life. At the end of the session, there are several questions and answers.</span> https://www.orthodox.net//catechism/catechism_2019-02-10+how-does-god-change-the-soul.mp3#How does God change the soul? Another way to ask this question is, how can we stop committing the sin that we frequently fall into?  There is a short answer, and a long answer. The short answer is that we have no idea how God changes the soul, because it is a mystery! The long answer is that although we have no idea how God changes the soul, we definitely know the things that make us capable or incapable of having our soul changed. Given during catechesis about homiletics to leaders in the church, young men of St. Barnabas Orthodox Orphanage and school, in South Kinangop Kenya. Time: 5:41 How does God change the soul? A short answer and a longer answer.  (mp3 format) 2019-02-10 <span class='n12'>SYNOPSIS:How does God change the soul? Another way to ask this question is, how can we stop committing the sin that we frequently fall into?  There is a short answer, and a long answer. The short answer is that we have no idea how God changes the soul, because it is a mystery! The long answer is that although we have no idea how God changes the soul, we definitely know the things that make us capable or incapable of having our soul changed. Given during catechesis about homiletics to leaders in the church, young men of St. Barnabas Orthodox Orphanage and school, in South Kinangop Kenya. Time: 5:41</span> https://www.orthodox.net//catechism/catechism_2019-02-10+meaning-of-theotokos+why-do-we-believe-she-is-ever-virgin.mp3#An important question asked at the end of the first session about homiletics (catechism_2019-02-10+homiletics-01+first-have-an-inner-life.mp3) given to young men at St. Barnabas Orthodox orphanage and school in Kenya. What does the word “Theotokos” mean? Why do we believe that Mary is ever virgin? A theological, historical, and experiential answer. (mp3 format) 2019-02-10 <span class='n12'>SYNOPSIS:An important question asked at the end of the first session about homiletics (catechism_2019-02-10+homiletics-01+first-have-an-inner-life.mp3) given to young men at St. Barnabas Orthodox orphanage and school in Kenya.</span> https://www.orthodox.net//catechism/catechism_2019-02-14+10-commandments+01-06.mp3 Catechism: The Ten Commandments. Commandments 1-6 (mp3 format) 2019-02-14 <span class='n12'>SYNOPSIS:Part 01 of catechism on the Ten Commandments, covering commandments 1-6, by Priest Nicholas Park</span> https://www.orthodox.net//catechism/catechism_2019-09-08.mp3 Catechism (mp3 format) 2019-09-08 |||||||||||||
010|cl-04_2018+confession-of-faith-based-on-symbol-of-faith-st-theophan-the-recluse|Cl 04 (Adobe PDF format)|||||||||||||||||Confession Of Faith Based On Symbol Of Faith St Theophan The Recluse 2018 |||||||||||||
011|faith-enrichment-0004_2018-10-11+passions-01.mp3|Faith Enrichment 0004 (mp3 format)|||||||||||||||||Passions 01 2018-10-11 |||||||||||||
012|feasts-of-the-lord_2010-08-23+transfiguration+after-liturgy-short-talk.mp3|Feasts Of The Lord (mp3 format)|||||||||||||||||Transfiguration After Liturgy Short Talk 2010-08-23 https://www.orthodox.net//catechism/feasts-of-the-lord_2019+pentecost+pastoral-letter.pdf Feasts Of The Lord (Adobe PDF format) Pentecost Pastoral Letter 2019 https://www.orthodox.net//catechism/feasts-of-the-lord_2019+pentecost+pastoral-letter.docx.doc Feasts Of The Lord (Word DOC format) Pentecost Pastoral Letter.docx 2019 |||||||||||||
