#made from index.txt file
#1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24
#num|file|title|subtitle|subtitle2|year|cat|catnum|subcat|subcatnum|scripture|parable|miracle|txt|mp3|wma|rm|link|comment|synopsis|audiofirst|tooltip|indextitle|note|tag1|tag2|tag3|tag4|tag5|tag6|tag7|tag8|tag9
#1:num|2:file|3:title|4:subtitle|5:subtitle2|6:year|7:cat|8:catnum|9:subcat|10:subcatnum|11:scripture|12:parable|13:miracle|14:txt|15:mp3|16:wma|17:rm|18:link|19:comment|20:synopsis|21:audiofirst|22:tooltip|23:indextitle|24:note|25:tag1|26:tag2|27:tag3|28:tag4|29:tag5|30:tag6|31:tag7|32:tag8|33:tag9
001|great-lent-week-02-monday_2009+sixth-hour+the-first-sin-of-cain|Second Week of Great Lent;Monday (HTML format)|||||||||||||||||Second Week of Great Lent;Monday The First Sin Of Cain 2009 https://www.orthodox.net//dailylent/great-lent-week-02-tuesday_2009+vespers+evil-jealousy-and-false-pretence.html Second Week of Great Lent;Tuesday (HTML format) Second Week of Great Lent;Tuesday Evil Jealousy And False Pretence 2009 https://www.orthodox.net//dailylent/txtgreat-lent-week-02-tuesday_2009+vespers+evil-jealousy-and-false-pretence.html Second Week of Great Lent;Tuesday (HTML format) Second Week of Great Lent;Tuesday Evil Jealousy And False Pretence 2009 |||||||||||||
002|great-lent-week-02-tuesday_2011-03-15+sixth-hour+parable-of-the-vineyard-the-man-of-judah-his-beloved-plant_isaiah4-2-5-7.mp3|Second Week of Great Lent;Tuesday (mp3 format)|||||||||||||||||Second Week of Great Lent;Tuesday Parable Of The Vineyard The Man Of Judah His Beloved Plant Isaiah 4-2-5-7 2011-03-15 |||||||||||||
003|great-lent-week-02-wednesday_2009+vespers+the-good-and-bad-example-of-lamech|Second Week of Great Lent;Wednesday (HTML format)|||||||||||||||||Second Week of Great Lent;Wednesday The Good And Bad Example Of Lamech 2009 https://www.orthodox.net//dailylent/great-lent-week-02-thursday_2009+sixth-hour+the-holy-eucharist-and-hearing-the-voice-of-god.html Second Week of Great Lent;Thursday (HTML format) Second Week of Great Lent;Thursday The Holy Eucharist And Hearing The Voice Of God 2009 https://www.orthodox.net//dailylent/great-lent-week-02-friday_2009+the-invisible-amalek.html Second Week of Great Lent;Friday (HTML format) Second Week of Great Lent;Friday Matins Canon 2009 |||||||||||||
004|great-lent-week-03-monday_2009+matins+with-the-fire-of-abstinence|Third Week of Great Lent;Monday (HTML format)|||||||||||||||||Third Week of Great Lent;Monday With The Fire Of Abstinence 2009 http://stnicholasdallas.blogspot.com/2008/03/great-lent-3rd-week-tuesday-vespers.html Third Week of Great Lent;Tuesday Third Week of Great Lent;Tuesday Proverbs 9:1-6 2008 |||||||||||||
005|great-lent-week-03-tuesday_2009+vespers+wisdom-has-built-a-house-for-herself|Third Week of Great Lent;Tuesday (HTML format)|||||||||||||||||Third Week of Great Lent;Tuesday Wisdom Has Built A House For Herself. Commentary by St Hyppolytus of Rome.  Proverbs 9:1-6 2009 https://www.orthodox.net//dailylent/gl-03-tue_2016+i-have-been-wounded-by-the-sword-of-pleasure+happiness.mp3 Third Week of Great Lent;Tuesday (mp3 format) Third Week of Great Lent;Tuesday Happiness 2016 |||||||||||||
006|great-lent-week-03-wednesday_2009+sixth-hour+sessional-hymn,-joyful-celebration|Third Week of Great Lent;Wednesday (HTML format)|||||||||||||||||Third Week of Great Lent;Wednesday Sessional Hymn, &quot;Joyful Celebration&quot; 2009 https://www.orthodox.net//dailylent/great-lent-week-03-thursday_2009+sixth-hour+the-ensign-of-the-people.html Third Week of Great Lent;Thursday (HTML format) Third Week of Great Lent;Thursday The Ensign Of The People 2009 https://www.orthodox.net//dailylent/great-lent-week-03-friday_2009+deceitful-balance.html Third Week of Great Lent;Friday (HTML format) Third Week of Great Lent;Friday 2009 https://www.orthodox.net//dailylent/great-lent-week-03-friday_2009+deceitful-balance..html Third Week of Great Lent;Friday (HTML format) Third Week of Great Lent;Friday 2009 |||||||||||||
007|great-lent-week-04-tuesday_2009-03-24+abstinence-and-understanding|Fourth Week of Great Lent;Tuesday (HTML format)|||||||||||||||||Fourth Week of Great Lent;Tuesday Matins Sessional Hymn.  2009-03-24 http://orthodox.net/redeemingthetime/2010/03/10/a-sword-shall-pierce-through-thy-own-soul/ Fourth Week of Great Lent;Wednesday Fourth Week of Great Lent;Wednesday A Sword Shall Pierce Through Thy Own Soul 2010-03-10 https://www.orthodox.net//dailylent/great-lent-week-04-thursday_2008+vespers+the-tower-of-babel.html Fourth Week of Great Lent;Thursday (HTML format) Fourth Week of Great Lent;Thursday The Tower Of Babel Gen 10:32 - 11:9  2008 https://www.orthodox.net//dailylent/great-lent-week-04-thursday_2009-03-26+vespers+evil-shall-pursue-sinners-but-good-shall-overtake-the-righteous.html Fourth Week of Great Lent;Thursday (HTML format) Fourth Week of Great Lent;Thursday Evil Shall Pursue Sinners But Good Shall Overtake The Righteous Proverbs 13:21 2009-03-26 https://www.orthodox.net//dailylent/great-lent-week-04-friday_2009-03-27+old-testament-references-to-the-cross.html Fourth Week of Great Lent;Friday (HTML format) Fourth Week of Great Lent;Friday 2009-03-27 |||||||||||||
008|great-lent-week-05-tuesday_2009-03-31+counting-our-blessings|Fifth Week of Great Lent;Tuesday (HTML format)|||||||||||||||||Fifth Week of Great Lent;Tuesday 2009-03-31 |||||||||||||
009|great-lent-week-01-monday_2008+all-the-demon-chiefs_great=canon2;12|First Week of Great Lent   Clean Week;Monday (HTML format)|||||||||||||||||First Week of Great Lent   Clean Week;Monday Great Canon 2:12 2008 https://www.orthodox.net//dailylent/great-lent-week-01-monday_2009+sixth-hour.html First Week of Great Lent   Clean Week;Monday (HTML format) First Week of Great Lent   Clean Week;Monday An Anthem for Great Lent and all of Life Isaiah 1:1-20 2009 https://www.orthodox.net//dailylent/great-lent-week-01-monday_sixth-hour.html First Week of Great Lent   Clean Week;Monday (HTML format) First Week of Great Lent   Clean Week;Monday sixth-hour |||||||||||||
010|great-lent-week-01-tuesday_2008+strangers_sixth=hour,=troparian=of=the=prophecy|First Week of Great Lent   Clean Week;Tuesday (HTML format)|||||||||||||||||First Week of Great Lent   Clean Week;Tuesday Sixth Hour, Troparian Of The Prophecy 2008 https://www.orthodox.net//dailylent/great-lent-week-01-wednesday_2008+thou-knowest-our-frame_sixth=hour,=troparian=of=the=prophecy.html First Week of Great Lent   Clean Week;Wednesday (HTML format) First Week of Great Lent   Clean Week;Wednesday Sixth Hour, Troparian Of The Prophecy 2008 https://www.orthodox.net//dailylent/great-lent-week-01-thursday_2010+in-all-thy-ways-acquaint-thyself-with-her-proverbs3-5-6.doc First Week of Great Lent   Clean Week;Thursday (Word DOC format) First Week of Great Lent   Clean Week;Thursday 2010 |||||||||||||
