#made from index.txt file
#1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24
#num|file|title|subtitle|subtitle2|year|cat|catnum|subcat|subcatnum|scripture|parable|miracle|txt|mp3|wma|rm|link|comment|synopsis|audiofirst|tooltip|indextitle|note|tag1|tag2|tag3|tag4|tag5|tag6|tag7|tag8|tag9
#1:num|2:file|3:title|4:subtitle|5:subtitle2|6:year|7:cat|8:catnum|9:subcat|10:subcatnum|11:scripture|12:parable|13:miracle|14:txt|15:mp3|16:wma|17:rm|18:link|19:comment|20:synopsis|21:audiofirst|22:tooltip|23:indextitle|24:note|25:tag1|26:tag2|27:tag3|28:tag4|29:tag5|30:tag6|31:tag7|32:tag8|33:tag9
001|dyptichs-daniels-list|Daniel's list for prayer. |||||||||||||||||This list has categories, related to Daniel, and his life, death, and legacy. Please pray for Daniel, and those on His list.  If you agree to pray for Daniel, contact Fr Seraphim to be put on Daniel's list.  Those in need, typical people Daniel would have cared for. Those who have been kind. Those who lost someone suddenly Those who have agreed to pray for Daniel Those who died suddenly Also in format <a href="https://www.orthodox.net//daniel/dyptichs-daniels-list.doc">Word</a>  Also in format <a href="https://www.orthodox.net//daniel/dyptichs-daniels-list.pdf">PDF</a> NOTE:The pdf and word formats are often more up to date than the HTML version.  |||||||||||||
002|daniels-memorial-foundation|Daniel's Memorial Foundation|||||||||||||||||Daniel was very generous in life. We would like to keep his legacy going after his death. A memorial account has been set up in his honor.  This account, Daniel's List/Daniel’s Memorial Foundation - will be used exclusively to help others in need and to donate to worthy causes, just as Daniel would have done if he were still with us. He was well known by all of us to ALWAYS give to a street beggar or musician, and he would always engage then in conversation. He also was very generous with his substance, his housing, everything. If you feel inclined to contribute financially, please consider making a donation to this account in Daniel's honor.  Also in <a href="https://www.orthodox.net//daniel/daniels-memorial-foundation.pdf">pdf</a>   <a href="https://www.orthodox.net//daniel/daniels-memorial-foundation.doc">Word</a>  |||||||||||||
003|&quot;if&quot;.TheApostlesays&quot;IfwebelievethatJesusdiedandroseagain...&quot;Wetalkaboutwhatbeliefintheresurrectionreallymeans.Themartyrsunderstood,ouralmostpost-Christiansocietydoesnot.WediscussworldlysorrowandChristiansorrowandanoverviewoflastjudgment.Remarksatoneofthe&quot;40days&quot;liturgies,for+Daniel,myson.|&quot;If we believe that Jesus died and rose again...&quot; What the resurrection really means - NOW.  (mp3 format)|||||||||||||||||Epistle for the commemoration of the dead on Saturday 1  Thessalonians 4:13-17 2017 <span class='n12'>SYNOPSIS:There is a very large word in the scriptures, with only two letters: &quot;if&quot;. The Apostle says &quot;If we believe that Jesus died and rose again...&quot; We talk about what belief in the resurrection really means. The martyrs understood, our almost post-Christian society does not. We discuss worldly sorrow and Christian sorrow and an overview of last judgment. Remarks at one of the &quot;40 days&quot; liturgies, for +Daniel, my son.</span> https://www.orthodox.net//sermons/funeral_2017+daniel-holland.doc#Remarks at the funeral of Daniel Holland, from his father. His deep heart, and how and why we pray for the dead, with examples from the Akathist for the dead, and how we should remember him. It is with actions, not words. At the funeral for Daniel: about his deep heart and how and why we pray for the dead, and how to properly keep his memory.  (Word DOC format) How and why Orthodox pray for the dead The deep heart 2017-06-23 https://www.orthodox.net//sermons/funeral_2017+tuesday-saturday+the-resurrection-is-not-only-in-the-future_john5-24-30.mp3#The Gospel for the dead, which is read on Tuesday and Saturday, teaches emphatically that the resurrection is not only a future event. Remarks at one of the &quot;40 days&quot; liturgies, for +Daniel, my son. The resurrection is not only in the future.  (mp3 format) Gospel for the commemoration of the dead on Tuesday and Saturday John 5:24-30 2017-06-27 <span class='n12'>SYNOPSIS:The Gospel for the dead, which is read on Tuesday and Saturday, teaches emphatically that the resurrection is not only a future event. Remarks at one of the &quot;40 days&quot; liturgies, for +Daniel, my son.</span> https://www.orthodox.net//sermons/funeral_2017+thursday+i-will-raise-him-up-at-the-last-day_john6-40-44.mp3#The perspective of God is not the same as our perspective, so we must change. There is only one thing that is important in life, and that is, that we will be raised up on the last day. This eternal perspective should influence everything we do that is temporal. Remarks at one of the &quot;40 days&quot; liturgies, for +Daniel, my son. God's perspective is different than our perspective. There is only one thing that matters.  (mp3 format) Gospel for the commemoration of the dead on Thursday John 6:40-44 2017-06-29 <span class='n12'>SYNOPSIS:The perspective of God is not the same as our perspective, so we must change. There is only one thing that is important in life, and that is, that we will be raised up on the last day. This eternal perspective should influence everything we do that is temporal. Remarks at one of the &quot;40 days&quot; liturgies, for +Daniel, my son.</span> https://www.orthodox.net//sermons/funeral_2017+friday+this-corruptible-must-put-on-incorruption_1cor15-47-57.mp3#About the earthy man and the spiritual man, and the amazing thing: &quot;flesh and blood cannot inherit the kingdom of God; neither doth corruption inherit incorruption.&quot; -- BUT WITH GOD ALL THINGS ARE POSSIBLE, so: &quot;Behold, I shew you a mystery; We shall not all sleep, but we shall all be changed.&quot; This exalted topic is mixed with some reminiscing  about the &quot;Campus Crusade&quot; (typical Evangelical Protestant ) view of salvation, which does not understand such things. Remarks at one of the &quot;40 days&quot; liturgies, for +Daniel, my son. This corruption must put on incorruption. (mp3 format) Epistle for the commemoration of the dead on Friday 1  Corinthians 15:47-57 2017-06-30 <span class='n12'>SYNOPSIS:About the earthy man and the spiritual man, and the amazing thing: &quot;flesh and blood cannot inherit the kingdom of God; neither doth corruption inherit incorruption.&quot; -- BUT WITH GOD ALL THINGS ARE POSSIBLE, so: &quot;Behold, I shew you a mystery; We shall not all sleep, but we shall all be changed.&quot; This exalted topic is mixed with some reminiscing  about the &quot;Campus Crusade&quot; (typical Evangelical Protestant ) view of salvation, which does not understand such things. Remarks at one of the &quot;40 days&quot; liturgies, for +Daniel, my son.</span> |||||||||||||
004|fornowisoursalvationnearerthanwhenwebelieved&quot;.Wemusthavepurposeandresolveorwearenothing.Sincethisfeastoccurswithinthe40daysformyson+Daniel,Iseeallthingsinrelationtohim,andagreatblessingofhispassingisthatwehavereportsthatmanyhaveawokenoutofsleep.Letustalkaboutpurpose,andasceticismandpersonalchange.Ason'sdeathisanexpensiveprice,butthegiftsgivenareverydear.|Birth of John the Baptist. &quot;Now it is high time to awake out of sleep&quot; (mp3 format)|||||||||||||||||Nativity of Saint John the Baptist Romans 13:11-14:4 2017-07-07 |||||||||||||
005|daniel),therearealsoverypersonalexamplesofhowGodvisitswithgrace,butwemustreacttothisgrace.|Grace,mercy, do's & dont's, and becoming vessels of grace. (mp3 format)|||||||||||||||||Romans 12:6-14 2017-07-16 <span class='n12'>SYNOPSIS:Christianity is to live in a moral way. It is not dogmas or principles in the abstract. It is very practical. We talk about do's and don’ts, legalism, grace and mercy, and making ourselves vessels of grace, and a line by line exegesis of Paul's &quot;do's&quot;. Since this is during the 40 days for my son +Daniel (<a href='https://www.orthodox.net//daniel'>https://www.orthodox.net//daniel</a>), there are also very personal examples of how God visits with grace, but we must react to this grace.</span> |||||||||||||
006|pen-sun-08_2017+giving-five-loaves-and-two-fishes-to-everyone_matthew14-14-22.mp3#Wemustgivewhatwehave.Weallhaveatleast5loavesandtwofish.Wemusthaveopen,andsoftheartsandseethepeoplewhoneedsomething,andgivethemwhatwehave.TheLordwillmakethingsmultiply.Apractical,morallookattheMiracleofthefeedingofthe5000,andtheactionsofthewomanwhowasa&quot;sinner&quot;|How to give five loaves and two fish to everyone (mp3 format)|||Martyr Marina||||||||||||||Matthew 14:14-22 : Luke 7:36-50 2017-07-30 <span class='n12'>SYNOPSIS:We must give what we have. We all have at least 5 loaves and two fish. We must have open, and soft hearts and see the people who need something, and give them what we have. The Lord will make things multiply. A practical, moral look at the Miracle of the feeding of the 5000, and the actions of the woman who was a &quot;sinner&quot;</span> |||||||||||||
007|andcomeand***followme**&quot;|The best way to learn is to follow an example. The Rich Young Ruler.  (mp3 format)|||||||||||||||||The Rich Young Ruler Matthew 19:16-26 2017-08-27 <span class='n12'>SYNOPSIS:The best way to learn is to follow an example. We have many examples - the God-Man Jesus Christ, the saints, and those we respect in this life. We look at the admonition given to the Rich Young Rules in this light. Three examples are discussed - my dad (and BASEBALL!), St Timothy of Esphigmenou, and St Paisios. The point is not really that we must follow certain rules - we must follow Jesus Christ, and all the rules we follow will be because we follow Him. The most important part of the admonition is AT THE END: &quot;If thou wilt be perfect, go and sell that thou hast, and give to the poor, and thou shalt have treasure in heaven: and come and ***follow me**&quot; </span> |||||||||||||
008|theotokos_2017+the-good-part+mind-of-christ_phil2-5-11-luke10-38-42,11-27-28.mp3#OntheDormition,anexegesisofthereadingsforthefeast,withanemphasisonthemindoftheTheotokosandthemindofChristandhowtoacquirethismind-thatispointofChristianlife!-andwhyweveneratehersohighly|Dormition Scriptures. The point is the mind of Christ and the good part, and how to acquire them.  (mp3 format)|||||||||||||||||Dormition Phillipians 2:5-11 : Luke 10:38-42,11:27-28 2017-08-28 <span class='n12'>SYNOPSIS:On the Dormition, an exegesis of the readings for the feast, with an emphasis on the mind of the Theotokos and the mind of Christ and how to aquire this mind - that is point of Christian life! - and why we venerate her so highly.</span> |||||||||||||
009|&quot;Speak,Lord,forthyservantheareth.&quot;Thisisenoughtoknowabouttheprophet’slife,itweapplyittoourown.Hisanswersaretheanswersweshouldgivetoalmosteveryquestionandencounterwehaveinlife.WegiveafewexamplesfromSamuel'slife,andalsopracticalexamples,becauseitisuselesstoknowaboutSamuel'svirtuesunlesswealsoemulatethem.|&quot;Here am I&quot; - the answer to almost every question. The Holy Prophet Samuel. (mp3 format)|||||||||||||||||Prophet Samuel Samuel(1 Kings)3:1-10 2017-09-03 <span class='n12'>SYNOPSIS:God called the holy Prophet Samuel simply by speaking his name: &quot;Samuel&quot;. The young man answered 3 times &quot;Here am I&quot;, and a 4th time:&quot;Speak, Lord, for thy servant heareth. &quot; This is enough to know about the prophet’s life, it we apply it to our own. His answers are the answers we should give to almost every question and encounter we have in life. We give a few examples from Samuel's life, and also practical examples, because it is useless to know about Samuel's virtues unless we also emulate them.</span> |||||||||||||
010|pen-sun-18_2017+marriage-prospers-if-we-sow-bountifully_2cor9-6-11.mp3#Textsonmarriage.Sowingbountifully.Anecessityofagood,Christianmarriage.Howmarriageenablesalmsgiving.Practicalandtheologicalreasonstosowbountifully.|Marriage prospers if we sow bountifully.  (mp3 format)|||||||||||||||||2  Corinthians 9:6-11 2017-10-08 <span class='n12'>SYNOPSIS:Texts on marriage. Sowing bountifully. A necessity of a good, Christian marriage. How marriage enables almsgiving. Practical and theological reasons to &quot;sow bountifully&quot;. </span> |||||||||||||
