#1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24
#num|file|title|subtitle|subtitle2|year|cat|catnum|subcat|subcatnum|scripture|parable|miracle|txt|mp3|wma|rm|link|comment|synopsis|audiofirst|tooltip|indextitle|note|tag1|tag2|tag3|tag4|tag5|tag6|tag7|tag8|tag9
#1:num|2:file|3:title|4:subtitle|5:subtitle2|6:year|7:cat|8:catnum|9:subcat|10:subcatnum|11:scripture|12:parable|13:miracle|14:txt|15:mp3|16:wma|17:rm|18:link|19:comment|20:synopsis|21:audiofirst|22:tooltip|23:indextitle|24:note|25:tag1|26:tag2|27:tag3|28:tag4|29:tag5|30:tag6|31:tag7|32:tag8|33:tag9

#if an entry is missing, it is considered to be blank
#if any delimiters are missing, all entries from that point on are blank
#some entries may have embedded HTML code

003|catechetical-letter-01_2015+first-things+god-he-who-is-the-trinity|Catechetical Letter 01|First Things|God He Who Is The Trinity|2015|Catechetical Letter 01|0000||0000|||||||||||||||Catechetical Letter 01|||||||
005|fi_2018+differences-between-orthodox-christianity-and-other-christian-beliefs|Fi|Differences Between Orthodox Christianity And Other Christian Beliefs||2018|Fi|0000||0000|||||||||||||||Fi|||||||
031|full-voice_2013-11-08+already-ye-are-clean-by-reason-of-the-word-which-i-have-spoken-to-you_john15-3|Full Voice|||2013-11-08|A Priest should speak with a full voice|0000||0000|John 15:3||||mp3|||||In His great discourse before His passion, the Lord makes the amazing statement: &quot;Already ye are clean by reason of the word which I have spoken to you&quot;. He was saying this to confused men who were soon to flee from Him in fear. How are we to understand His words? This is very important, especially for sinners who feel worthless and dirty because of their sins. ||In His great discourse before His passion, the Lord makes the amazing statement: &quot;Already ye are clean by reason of the word which I have spoken to you&quot;. He was saying this to confused men who were soon to flee from Him in fear. How are we to understand His words? This is very important, especially for sinners who feel worthless and dirty because of their sins. |&quot;Already ye are clean by reason of the word which i have spoken to you&quot; A sinner who abides in the vine is clean! How do we understand this! John 15:3||A Priest should speak with a full voice|||||||
032|full-voice_2013-11-12+life-without-christ-is-not-life-but-death+hieromartyr-zenobius-and-sister-zenobia-october-30|Full Voice|||2013-11-12|A Priest should speak with a full voice|0000||0000|||||mp3|||||The life of Hieromartyr Zenobius and his sister Zenobia (Oct 30/ Nov 12), zeroing in on the most important part: &quot;Life without Christ is not life but death, whereas death for the sake of Christ is not death but life.&quot;|||Hieromartyr Zenobius and his sister Zenobia Oct 30 &quot;Life without Christ is not life but death, whereas death for the sake of Christ is not death but life.&quot;||A Priest should speak with a full voice|||||||
033|full-voice_2013-11-13+answer-those-who-say-jesus-never-explicitly-condemned-homosexuality|Full Voice|||2013-11-13|A Priest should speak with a full voice|0000||0000|||||mp3|||||A supposed gotcha that people use to support homosexuality is that Jesus never mentioned it in the Gospels. Therefore, according to their logic, that which was not mentioned was not condemned. The reasons for this scriptural claim are legion, and we look at several of them, the first of which is, of course, scriptural illiteracy. ||A supposed gotcha that people use to support homosexuality is that Jesus never mentioned it in the Gospels. Therefore, according to their logic, that which was not mentioned was not condemned. The reasons for this scriptural claim are legion, and we look at several of them, the first of which is, of course, scriptural illiteracy. |Answer to the claim that Jesus never explicitly condemned homosexuality. What are some of the reasons that people justify homosexual activity?||A Priest should speak with a full voice|||||||
034|full-voice_2013-11-23+most-holy-theotokos-save-us+prayer-to-the-saints|Full Voice|||2013-11-23|A Priest should speak with a full voice|0000||0000|||||mp3|||||Something that gets the attention of Western believers and sometimes makes them even think they are witnessing blasphemy is our oft repeated petition to the Mother of God: &quot;Most Holy Theotokos save us!&quot; People often do not like and rarely benefit from something what they do not understand. We explain the very reasonable reasons for this petition and why it is important. ||Something that gets the attention of Western believers and sometimes makes them even think they are witnessing blasphemy is our oft repeated petition to the Mother of God: &quot;Most Holy Theotokos save us!&quot; People often do not like and rarely benefit from something what they do not understand. We explain the very reasonable reasons for this petition and why it is important. |&quot;Most Holy Theotokos save us&quot; Why do we say this? Prayer to the Saints. ||A Priest should speak with a full voice|||||||
035|full-voice_2013-11-26+is-it-lawful-to-heal-on-the-sabbath-day+i-will-have-mercy-and-not-sacrifice_matthew12-10+matthew12-7|Full Voice|||2013-11-26|A Priest should speak with a full voice|0000||0000|Matthew 12:10, Matthew 12:7  ||||mp3|||||Another question in Scripture that we must never ask, but know the answer to: &quot;Is it lawful to heal on the Sabbath day?&quot;||Another question in Scripture that we must never ask, but know the answer to: &quot;Is it lawful to heal on the Sabbath day?&quot;|Is it lawful to heal on the Sabbath day? I will have mercy and not sacrifice.||A Priest should speak with a full voice|||||||
036|full-voice_2013-11-27+and-other-seat-fell-upon-the-rocky-places-and-straightway-it-sprang-up-because-it-had-no-depth-of-earth+patience_matthew13-5|Full Voice|||2013-11-27|A Priest should speak with a full voice|0000||0000|Matthew 13:5||||mp3|||||The second kind of seed mentioned in the parable of the sower has a parenthetical statement that describes it: &quot;and forthwith they sprung up, because they had no deepness of earth&quot; What does this teach us? Patience. ||The second kind of seed mentioned in the parable of the sower has a parenthetical statement that describes it: &quot;and forthwith they sprung up, because they had no deepness of earth&quot; What does this teach us? Patience. |And other seed fell upon rocky placed and it sprang up because it had no depth of earth. Patience.||A Priest should speak with a full voice|||||||
037|full-voice_2013-12-17+we-became-as-men-that-are-comforted_psalm125-1-2|Full Voice|||2013-12-17|A Priest should speak with a full voice|0000||0000|Psalm 125:1-2||||mp3|||||Psalm 125 exclaims &quot;We became as men that are comforted.&quot; Everybody needs comfort. What is the comfort the Psalm is referring to?||Psalm 125 exclaims &quot;We became as men that are comforted.&quot; Everybody needs comfort. What is the comfort the Psalm is referring to?|&quot;When the Lord turned again the captivity of Sion, we became as men that are comforted&quot; What is this comfort? ||A Priest should speak with a full voice|||||||
038|full-voice_2013-12-18+o-lord-my-heart-is-not-exalted-nor-are-mine-eyes-become-lofty+messianic-psalm_psalm130|Full Voice|||2013-12-18|A Priest should speak with a full voice|0000||0000|Psalm 130||||mp3|||||Most Psalms are Messianic (describe Jesus Christ in some way), and Psalm 130 does this AND instructs us in the all important virtue of humility. ||Most Psalms are Messianic (describe Jesus Christ in some way), and Psalm 130 does this AND instructs us in the all important virtue of humility. |&quot;Lord, my heart is not exalted, nor are mine eyes become lofty.&quot; A messianic psalm that describes Jesus Christ and instructs us in how to live. ||A Priest should speak with a full voice|||||||
039|full-voice_2013-12-19+what-is-so-good-or-so-joyous-as-for-brethren-to-dwell-together-in-unity+priest-vesting-prayer_psalm132-1-2|Full Voice|||2013-12-19|A Priest should speak with a full voice|0000||0000|Psalm 132:1-2||||mp3|||||Psalm 132:2 is use in the vesting prayers of the priest. All would do well to remember the context of this prayer and how Divine Liturgy should be the ultimate expression of unity. Of course, we must understand the Christian meaning of &quot;unity&quot; which differs quite a lot from that of the world.||Psalm 132:2 is use in the vesting prayers of the priest. All would do well to remember the context of this prayer and how Divine Liturgy should be the ultimate expression of unity. Of course, we must understand the Christian meaning of &quot;unity&quot; which differs quite a lot from that of the world.|&quot;Behold now, what is so good or so joyous as for brethren to dwell together in unity?&quot; Unity, vesting and the Divine Liturgy.||A Priest should speak with a full voice|||||||
040|full-voice_2013-12-20+ninth-commmandment+do-not-do-anything-that-is-not-according-to-gods-nature|Full Voice|||2013-12-20|A Priest should speak with a full voice|0000||0000|||||mp3|||||A sermon by Fr John Whiteford about lying (the ninth commandment) (http://www.ancientfaith.com/podcasts/amvon/thou_shalt_not_bear_false_witness) inspired these thoughts. God hates lying. To lie is to be unlike God. The reason for every commandment is that not following it means we act in opposition to God's nature. Also where all commandments are derived from. We must internalize the reason to follow the commandments!||A sermon by Fr John Whiteford about lying (the ninth commandment) (http://www.ancientfaith.com/podcasts/amvon/thou_shalt_not_bear_false_witness) inspired these thoughts. God hates lying. To lie is to be unlike God. The reason for every commandment is that not following it means we act in opposition to God's nature. Also where all commandments are derived from. We must internalize the reason to follow the commandments!|God hates lying. Do not lie because it is against the nature of God. All the comandments must be followed because the reflect the nature of God. ||A Priest should speak with a full voice|||||||
