#made from index.txt file
#1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24
#num|file|title|subtitle|subtitle2|year|cat|catnum|subcat|subcatnum|scripture|parable|miracle|txt|mp3|wma|rm|link|comment|synopsis|audiofirst|tooltip|indextitle|note|tag1|tag2|tag3|tag4|tag5|tag6|tag7|tag8|tag9
#1:num|2:file|3:title|4:subtitle|5:subtitle2|6:year|7:cat|8:catnum|9:subcat|10:subcatnum|11:scripture|12:parable|13:miracle|14:txt|15:mp3|16:wma|17:rm|18:link|19:comment|20:synopsis|21:audiofirst|22:tooltip|23:indextitle|24:note|25:tag1|26:tag2|27:tag3|28:tag4|29:tag5|30:tag6|31:tag7|32:tag8|33:tag9
001|great-lent-01-01-clean-monday-sixth-hour-meditation|The First Week of Great Lent - Clean Monday |||||||||||||||||An Anthem for Great Lent and all of Life. |||||||||||||
002|great-lent-01-03-clean-wednesday-prokeimenon-psalm-10-meditation|Clean Wednesday |||||||||||||||||Meditation on Psalm 10,  the Prokeimenon, in the Sixth Hour |||||||||||||
003|great-lent-01-05-clean-friday-sixth-hour-meditation|The First Week of Great Lent - Clean Friday |||||||||||||||||THE ONLY SOLUTION FOR OUR UNREPENTANT HEARTS |||||||||||||
004|o-lord-and-master-of-my-life-prayer-of-st-ephrem-01|O Lord and Master of my life... The Prayer of St Ephrem explained.|||||||||||||||||Other formats: FORMAT:WORD FORMAT:PDF  |||||||||||||
005|luke-18-10-14-publican_and_pharisee|Questions about the Publican and the Pharisee||||||||||||||||||||||||||||||
006|bulgakov-sunday-prodigal-son|Sunday of the Prodigal Son|||||||||||||||||S. V. Bulgakov, Handbook for Church Servers |||||||||||||
007|synaxarion-sunday-of-last-judgment-meatfare-sunday|Synaxarion for the Sunday of the Last Judgment |||||||||||||||||Meatfare Sunday |||||||||||||
008|sunday-of-the-last-judgment|Prayer on the Sunday of the Last Judgment||||||||||||||||||||||||||||||
009|bulgakov-meatfare-week|Meatfare Week, Meatfare Saturday and the Commemoration of the Departed|||||||||||||||||S. V. Bulgakov, Handbook for Church Servers |||||||||||||
010|bulgakov-meatfare-sunday|Sunday of Meatfare or of the Last Judgment|||||||||||||||||S. V. Bulgakov, Handbook for Church Servers |||||||||||||
011|synaxarion-forgiveness-sunday-cheesefare|Synaxarion of Forgiveness Sunday||||||||||||||||||||||||||||||
012|bulgakov-cheesfare-saturday|Saturday before Cheesefare|||||||||||||||||Commemoration of the Ascetics S. V. Bulgakov, Handbook for Church Servers |||||||||||||
013|bulgakov-cheesfare-sunday|Cheesefare Sunday|||||||||||||||||S. V. Bulgakov, Handbook for Church Servers |||||||||||||
014|thoughts-before-great-lent-ab-averky|Thoughts At The Threshold Of The Holy Great Lenten Fast And The Prayer Of The Publican|||||||||||||||||Archbishop Averky Of Syracuse |||||||||||||
015|forgiveness_sunday_1|Questions and answers concerning Forgiveness Sunday||||||||||||||||||||||||||||||
016|desert-fathers-on-fasting|The Desert Fathers on Fasting||||||||||||||||||||||||||||||
017|great-canon-of-andrew-of-crete-explanation|The Great Canon of St Andrew of Crete - a Short Explanation|||||||||||||||||Other formats: FORMAT:WORD FORMAT:PDF |||||||||||||
018|great-canon-monday|PDF Format||||||||||||||||||||||||||||||
019|great-canon-monday|RTF Format||||||||||||||||||||||||||||||
020|great-canon-tuesday|PDF Format||||||||||||||||||||||||||||||
021|great-canon-tuesday|RTF Format||||||||||||||||||||||||||||||
022|great-lent-01-03-clean-wednesday-prokeimenon-psalm-10-meditation|Meditation on Psalm 10,  the Prokeimenon, in the Sixth Hour|||||||||||||||||<i>The Lord is righteous and hath loved righteousness; upon uprightness hath His countenance looked.</i> |||||||||||||
023|great-canon-wednesday|PDF Format||||||||||||||||||||||||||||||
024|great-canon-wednesday|RTF Format||||||||||||||||||||||||||||||
025|great-canon-thursday|PDF Format||||||||||||||||||||||||||||||
026|great-canon-thursday|RTF Format||||||||||||||||||||||||||||||
027|01sungl-st-tikhon-1903|Homily of Holy New Hieromartyr Tikhon, Metropolitan of Moscow|||Sunday of Orthodoxy, 1903|||||||||||||||||||||||||||
028|sunday-of-orthodoxy-ab-averky|The Sunday of Orthodoxy |||||||||||||||||A Sermon by Archbishop Averky - 1971 |||||||||||||
029|sunday-1-of-gl|Prayer on the First Sunday Great Lent||||||||||||||||||||||||||||||
030|anathema-st-john|The Word "Anathema" and it's meaning - by Saint John Maximovitch||||||||||||||||||||||||||||||
031|anathema-bp-theophan|What is an Anathema? - by Bishop Theophan the Recluse||||||||||||||||||||||||||||||
032|true-orthodoxy|True Orthodoxy |||||||||||||||||by +ARCHBISHOP AVERKY of Syracuse and Holy Trinity Monastery |||||||||||||
033|what-is-orthodoxy|What is Orthodoxy? |||||||||||||||||By Archbishop Averky of Syracuse and Holy Trinity Monastery |||||||||||||
034|what-is-ecumenism|What is Ecumenism|||||||||||||||||by Fr John Moses |||||||||||||
