#made from index.txt file
#1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24
#num|file|title|subtitle|subtitle2|year|cat|catnum|subcat|subcatnum|scripture|parable|miracle|txt|mp3|wma|rm|link|comment|synopsis|audiofirst|tooltip|indextitle|note|tag1|tag2|tag3|tag4|tag5|tag6|tag7|tag8|tag9
#1:num|2:file|3:title|4:subtitle|5:subtitle2|6:year|7:cat|8:catnum|9:subcat|10:subcatnum|11:scripture|12:parable|13:miracle|14:txt|15:mp3|16:wma|17:rm|18:link|19:comment|20:synopsis|21:audiofirst|22:tooltip|23:indextitle|24:note|25:tag1|26:tag2|27:tag3|28:tag4|29:tag5|30:tag6|31:tag7|32:tag8|33:tag9
001|01-holy-prophet-nahum|The Holy Prophet Nahum.||||||||||||||||||||||||||||||
002|01-st-philaret-the-merciful| St Philaret the Merciful. ||||||||||||||||||||||||||||||
003|01-the-holy-prophet-nahum| The Holy Prophet Nahum. ||||||||||||||||||||||||||||||
004|02-hieromartyr-theodore-archbishop-of-alexandria|The Hieromartyr Theodore, Archbishop of Alexandria.||||||||||||||||||||||||||||||
005|02-holy-and-great-martyr-barbara|The Holy and Great Martyr Barbara.||||||||||||||||||||||||||||||
006|02-holy-martyr-myrope|The Holy Martyr Myrope.||||||||||||||||||||||||||||||
007|02-holy-prophet-habakkuk|The Holy Prophet Habakkuk.||||||||||||||||||||||||||||||
008|02-holy-prophet-zephaniah|The Holy Prophet Zephaniah.||||||||||||||||||||||||||||||
009|02-our-holy-father-athanasius-the-recluse-of-the-kiev-caves| Our Holy Father Athanasius the Recluse Of the Kiev Caves. ||||||||||||||||||||||||||||||
010|02-our-holy-father-nectarius-of-bitola|Our Holy Father Nectarius of Bitola.||||||||||||||||||||||||||||||
011|02-our-holy-father-sava-of-storozhev|Our Holy Father Sava of Storozhev.||||||||||||||||||||||||||||||
012|02-our-holy-father-sava-the-sanctified|Our Holy Father Sava the Sanctified.||||||||||||||||||||||||||||||
013|02-st-gennadius-archbishop-of-novgorod|St Gennadius, Archbishop of Novgorod.||||||||||||||||||||||||||||||
014|02-st-jesse-bishop-of-tsiklan| St Jesse, Bishop of Tsiklan. ||||||||||||||||||||||||||||||
015|02-st-uros-king-of-serbia| St Uros, King of Serbia. ||||||||||||||||||||||||||||||
016|02-the-holy-martyr-myrope| The Holy Martyr Myrope. ||||||||||||||||||||||||||||||
017|02-the-holy-prophet-habakkuk| The Holy Prophet Habakkuk. ||||||||||||||||||||||||||||||
018|03-hieromartyr-theodore-archbishop-of-alexandria|The Hieromartyr Theodore, Archbishop of Alexandria.||||||||||||||||||||||||||||||
019|03-holy-prophet-zephaniah|The Holy Prophet Zephaniah.||||||||||||||||||||||||||||||
020|03-our-holy-father-sava-of-storozhev| Our Holy Father Sava of Storozhev. ||||||||||||||||||||||||||||||
021|03-our-holy-father-theodulus| Our Holy Father Theodulus. ||||||||||||||||||||||||||||||
022|03-st-john-the-silent-the-hesychast|St John the Silent (the Hesychast).||||||||||||||||||||||||||||||
023|03-st-john-the-silent| St John the Silent (the Hesychast). ||||||||||||||||||||||||||||||
024|03-the-hieromartyr-theodore-archbishop-of-alexandria| The Hieromartyr Theodore, Archbishop of Alexandria. ||||||||||||||||||||||||||||||
025|03-the-holy-prophet-zephaniah| The Holy Prophet Zephaniah. ||||||||||||||||||||||||||||||
026|04-holy-and-great-martyr-barbara|The Holy and Great Martyr Barbara.||||||||||||||||||||||||||||||
027|04-st-gennadius-archbishop-of-novgorod| St Gennadius, Archbishop of Novgorod. ||||||||||||||||||||||||||||||
028|04-st-john-damacene| St John Damacene. ||||||||||||||||||||||||||||||
029|04-the-holygreat-martyr-barbara| The Holy and Great Martyr Barbara. ||||||||||||||||||||||||||||||
030|05-our-holy-father-nectarius-of-bitola| Our Holy Father Nectarius of Bitola. ||||||||||||||||||||||||||||||
031|05-our-holy-father-sava-the-sanctified| Our Holy Father Sava the Sanctified. ||||||||||||||||||||||||||||||
032|05-our-holy-fathers-karyon-and-zachariah|Our Holy Fathers Karyon and Zachariah.||||||||||||||||||||||||||||||
033|05-our-holy-fathers-karyonzachariah| Our Holy Fathers Karyon and Zachariah. ||||||||||||||||||||||||||||||
034|05-our-holy-fathers-the-martyrs-of-karyes| Our Holy Fathers, the Martyrs of Karyes. ||||||||||||||||||||||||||||||
035|06-holy-martyr-nicolas-of-karamanos|The Holy Martyr Nicolas of Karamanos.||||||||||||||||||||||||||||||
036|06-st-nicolas-bishop-of-patara| St Nicolas, Bishop of Patara. ||||||||||||||||||||||||||||||
037|06-st-nicolas-the-wonderworker-archbishop-of-myra-in-lycia| St Nicolas the Wonderworker, Archbishop of Myra in Lycia. ||||||||||||||||||||||||||||||
038|06-st-theophilus-bishop-of-antioch| St Theophilus, Bishop of Antioch. ||||||||||||||||||||||||||||||
039|06-the-holy-martyr-nicolas-of-karamanos| The Holy Martyr Nicolas of Karamanos. ||||||||||||||||||||||||||||||
040|07-conception-by-st-anna-of-the-most-holy-mother-of-god|The Conception by St Anna of the Most Holy Mother of God.||||||||||||||||||||||||||||||
041|07-holy-martyrs-in-africa|The Holy Martyrs in Africa.||||||||||||||||||||||||||||||
042|07-our-holy-father-gregory-the-hesychast| Our Holy Father Gregory the Hesychast. ||||||||||||||||||||||||||||||
043|07-our-holy-father-nilus-of-stolobnoye| Our Holy Father Nilus of Stolobnoye. ||||||||||||||||||||||||||||||
044|07-our-holy-father-patapius|Our Holy Father Patapius.||||||||||||||||||||||||||||||
045|07-our-holy-father-stephen-the-new-light|Our Holy Father Stephen the New Light.||||||||||||||||||||||||||||||
046|07-st-ambrose-bishop-of-mediolanum-milan|St Ambrose, Bishop of Mediolanum (Milan).||||||||||||||||||||||||||||||
047|07-st-ambrose-bishop-of-mediolanum| St Ambrose, Bishop of Mediolanum (Milan). ||||||||||||||||||||||||||||||
048|08-holy-martyrs-in-africa|The Holy Martyrs in Africa.||||||||||||||||||||||||||||||
049|08-our-holy-father-patapius| Our Holy Father Patapius. ||||||||||||||||||||||||||||||
050|08-the-holy-apostles-sosthenes-apollos-tychicus-epaphroditus-onesiphorus-cephascaesar| The Holy Apostles Sosthenes, Apollos, Tychicus, Epaphroditus, Onesiphorus, Cephas and Caesar. ||||||||||||||||||||||||||||||
051|08-the-holy-martyrs-in-africa| The Holy Martyrs in Africa. ||||||||||||||||||||||||||||||
052|09-conception-by-st-anna-of-the-most-holy-mother-of-god|The Conception by St Anna of the Most Holy Mother of God.||||||||||||||||||||||||||||||
053|09-our-holy-father-stephen-the-new-light| Our Holy Father Stephen the New Light. ||||||||||||||||||||||||||||||
054|09-st-hannah-mother-of-the-prophet-samuel| St Hannah, Mother of the Prophet Samuel. ||||||||||||||||||||||||||||||
055|09-st-sophronius-archbishop-of-cyprus| St Sophronius, Archbishop of Cyprus. ||||||||||||||||||||||||||||||
056|09-the-conception-by-st-anna-of-the-most-holy-mother-of-god| The Conception by St Anna of the Most Holy Mother of God. ||||||||||||||||||||||||||||||
057|10-holy-martyr-gemellus|The Holy Martyr Gemellus.||||||||||||||||||||||||||||||
058|10-holy-martyrs-menas-hermogenes-and-eugraphus|The Holy Martyrs Menas, Hermogenes and Eugraphus.||||||||||||||||||||||||||||||
