#made from index.txt file
#1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24
#num|file|title|subtitle|subtitle2|year|cat|catnum|subcat|subcatnum|scripture|parable|miracle|txt|mp3|wma|rm|link|comment|synopsis|audiofirst|tooltip|indextitle|note|tag1|tag2|tag3|tag4|tag5|tag6|tag7|tag8|tag9
#1:num|2:file|3:title|4:subtitle|5:subtitle2|6:year|7:cat|8:catnum|9:subcat|10:subcatnum|11:scripture|12:parable|13:miracle|14:txt|15:mp3|16:wma|17:rm|18:link|19:comment|20:synopsis|21:audiofirst|22:tooltip|23:indextitle|24:note|25:tag1|26:tag2|27:tag3|28:tag4|29:tag5|30:tag6|31:tag7|32:tag8|33:tag9
001|01-saint-basil-the-great|SAINT BASIL THE GREAT||||||||||||||||||||||||||||||
002|01-st-basil-the-great-archbishop-of-caesarea|St Basil the Great, Archbishop of Caesarea. ||||||||||||||||||||||||||||||
003|01-the-circumcision-of-our-lord-and-god-and-savior-jesus-christ|THE CIRCUMCISION OF OUR LORD AND GOD AND SAVIOR JESUS CHRIST||||||||||||||||||||||||||||||
004|02-our-holy-father-ammon-of-tabennisi|Our Holy Father Ammon of Tabennisi. ||||||||||||||||||||||||||||||
005|02-our-holy-father-seraphim-of-sarov|Our Holy Father Seraphim of Sarov. ||||||||||||||||||||||||||||||
006|02-saint-sylvester|SAINT SYLVESTER||||||||||||||||||||||||||||||
007|02-saint-theodota|SAINT THEODOTA||||||||||||||||||||||||||||||
008|02-st-sylvester-bishop-of-rome|St Sylvester, Bishop of Rome. ||||||||||||||||||||||||||||||
009|02-st-theodota|St Theodota. ||||||||||||||||||||||||||||||
010|02-the-venerable-ammon|THE VENERABLE AMMON||||||||||||||||||||||||||||||
011|02-the-venerable-seraphim-of-sarov|THE VENERABLE SERAPHIM OF SAROV||||||||||||||||||||||||||||||
012|03-saint-genevieve|SAINT GENEVIEVE OF PARIS||||||||||||||||||||||||||||||
013|03-st-genevi&eacute;ve|St Genevi&eacute;ve. ||||||||||||||||||||||||||||||
014|03-the-holy-martyr-gordius|The Holy Martyr Gordius. ||||||||||||||||||||||||||||||
015|03-the-priest|THE MARTYR GORDIUS ||||||||||||||||||||||||||||||
016|03-the-prophet-malachi|The Prophet Malachi. ||||||||||||||||||||||||||||||
017|04-eustathius|EUSTATHIUS OF SERBIA||||||||||||||||||||||||||||||
018|04-our-holy-father-the-martyr-onuphrius-of-hilandar|Our Holy Father, the Martyr Onuphrius of Hilandar. ||||||||||||||||||||||||||||||
019|04-st-eustathius-archbishop-of-serbia|St Eustathius, Archbishop of Serbia. ||||||||||||||||||||||||||||||
020|04-the-assembly-|THE ASSEMBLY OF THE SEVENTY APOSTLES ||||||||||||||||||||||||||||||
021|04-the-assembly-of-the-seventy-apostles|The Assembly of the Seventy Apostles. ||||||||||||||||||||||||||||||
022|04-the-eunuch-of-queen-candace|The Eunuch of Queen Candace. ||||||||||||||||||||||||||||||
023|04-the-venerable-martyr-onuphrius-of-hilendar-monastery-|THE VENERABLE MARTYR ONUPHRIUS OF HILENDAR MONASTERY ||||||||||||||||||||||||||||||
024|05-our-holy-mother-apollinaria|Our Holy Mother Apollinaria. ||||||||||||||||||||||||||||||
025|05-our-holy-mother-syncietica|Our Holy Mother Syncietica. ||||||||||||||||||||||||||||||
026|05-the-hieromartyr-theopemptusthe-holy-martyr-theonas|The Hieromartyr Theopemptus and the Holy Martyr Theonas. ||||||||||||||||||||||||||||||
027|05-the-holy-prophet-micah-the-first|The Holy Prophet Micah the First (or Micaiah). ||||||||||||||||||||||||||||||
028|05-the-holy-prophet-micaiah-|THE HOLY PROPHET MICAIAH ||||||||||||||||||||||||||||||
029|05-the-priestly|THE PRIEST-MARTYR THEOPEMPOS AND THEONAS||||||||||||||||||||||||||||||
030|05-the-venerable-apollinaria|THE VENERABLE APOLLINARIA||||||||||||||||||||||||||||||
031|05-the-venerable-mother-syncletica|THE VENERABLE MOTHER SYNCLETICA||||||||||||||||||||||||||||||
