#made from index.txt file
#1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24
#num|file|title|subtitle|subtitle2|year|cat|catnum|subcat|subcatnum|scripture|parable|miracle|txt|mp3|wma|rm|link|comment|synopsis|audiofirst|tooltip|indextitle|note|tag1|tag2|tag3|tag4|tag5|tag6|tag7|tag8|tag9
#1:num|2:file|3:title|4:subtitle|5:subtitle2|6:year|7:cat|8:catnum|9:subcat|10:subcatnum|11:scripture|12:parable|13:miracle|14:txt|15:mp3|16:wma|17:rm|18:link|19:comment|20:synopsis|21:audiofirst|22:tooltip|23:indextitle|24:note|25:tag1|26:tag2|27:tag3|28:tag4|29:tag5|30:tag6|31:tag7|32:tag8|33:tag9
001|discourse-gregory|Discourse On the Nativity of Christ |||||||||||||||||by St Gregory Thaumatourgos Bishop of Neo-Caesarea |||||||||||||
002|nativity-leo-1|Nativity of the Saviour,  Sermon 21, Homily 1 |||||||||||||||||by Pope St Leo the Great |||||||||||||
003|nativity-pope-leo|A Nativity Sermon|||||||||||||||||by Pope St Leo the Great (5th century) |||||||||||||
004|nativity-sjok-1|THE MYSTERY OF LOVING-KINDNESS |||||||||||||||||A Sermon by St John of Kronstadt on the Nativity of Christ |||||||||||||
005|nativity-sjok-2|THE WORD BECAME FLESH |||||||||||||||||A Sermon by St John of Kronstadt on the Nativity of Christ |||||||||||||
006|nativity-theotokos-by-andrew-of-crete|Discourse on the Nativity of the Most Holy Mother of God |||||||||||||||||by Saint Andrew, Archbishop of Crete |||||||||||||
007|on-night-of-nativity-ephraim-syrian|On the Night of Nativity|||||||||||||||||St. Ephraim the Syrian  |||||||||||||
008|1962-nativity-john-maximovich-archbishop|Nativity Epistle of 1962 By Saint John, Archbishop of Shanghai||||||||||||||||||||||||||||||
009|nativity_of_christ|Gleanings from Orthodox Christian Authors and the Holy Fathers on The Nativity Of Christ||||||||||||||||||||||||||||||
010|Npnf2-12-182.htm#P2946_695488|Sermon XXI. On the Feast of the Nativity, I.||||||||||||||||||||||||||||||
011|Npnf2-12-183.htm#P2969_702033|Sermon XXII. On the Feast of the Nativity, II.||||||||||||||||||||||||||||||
