#made from index.txt file
#1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24
#num|file|title|subtitle|subtitle2|year|cat|catnum|subcat|subcatnum|scripture|parable|miracle|txt|mp3|wma|rm|link|comment|synopsis|audiofirst|tooltip|indextitle|note|tag1|tag2|tag3|tag4|tag5|tag6|tag7|tag8|tag9
#1:num|2:file|3:title|4:subtitle|5:subtitle2|6:year|7:cat|8:catnum|9:subcat|10:subcatnum|11:scripture|12:parable|13:miracle|14:txt|15:mp3|16:wma|17:rm|18:link|19:comment|20:synopsis|21:audiofirst|22:tooltip|23:indextitle|24:note|25:tag1|26:tag2|27:tag3|28:tag4|29:tag5|30:tag6|31:tag7|32:tag8|33:tag9
001|pascha|Pascha|||||||||||||||||link:https://www.orthodox.net//podcasts/pascha.xml |||||||||||||
002|thomas-sunday|Thomas Sunday|||||||||||||||||link:https://www.orthodox.net//podcasts/thomas-sunday.xml |||||||||||||
003|sunday-of-the-myrhbearing-women|Sunday of the Myrhbearing women|||||||||||||||||link:https://www.orthodox.net//podcasts/sunday-of-the-myrhbearing-women.xml |||||||||||||
004|4th-sunday-of-pascha-the-paralytic|4th Sunday of Pascha:The Paralytic|||||||||||||||||link:https://www.orthodox.net//podcasts/4th-sunday-of-pascha-the-paralytic.xml |||||||||||||
005|5th-sunday-of-pascha-the-samaritan-woman|5th Sunday of Pascha:The Samaritan Woman|||||||||||||||||link:https://www.orthodox.net//podcasts/5th-sunday-of-pascha-the-samaritan-woman.xml |||||||||||||
006|6th-sunday-of-pascha-the-blind-man|6th Sunday of Pascha:The Blind Man|||||||||||||||||link:https://www.orthodox.net//podcasts/6th-sunday-of-pascha-the-blind-man.xml |||||||||||||
007|7th-sunday-of-pascha-fathers-of-the-first-ecumenical-council|7th Sunday of Pascha:Fathers of the First Ecumenical Council|||||||||||||||||link:https://www.orthodox.net//podcasts/7th-sunday-of-pascha-fathers-of-the-first-ecumenical-council.xml |||||||||||||
008|pentecost|Pentecost|||||||||||||||||link:https://www.orthodox.net//podcasts/pentecost.xml |||||||||||||
009|1st-sunday-after-pentecost|1st Sunday after Pentecost|||||||||||||||||link:https://www.orthodox.net//podcasts/1st-sunday-after-pentecost.xml |||||||||||||
010|2nd-sunday-after-pentecost|2nd Sunday after Pentecost|||||||||||||||||link:https://www.orthodox.net//podcasts/2nd-sunday-after-pentecost.xml |||||||||||||
011|3rd-sunday-after-pentecost|3rd Sunday after Pentecost|||||||||||||||||link:https://www.orthodox.net//podcasts/3rd-sunday-after-pentecost.xml |||||||||||||
012|4th-sunday-after-pentecost|4th Sunday after Pentecost|||||||||||||||||link:https://www.orthodox.net//podcasts/4th-sunday-after-pentecost.xml |||||||||||||
013|5th-sunday-after-pentecost|5th Sunday after Pentecost|||||||||||||||||link:https://www.orthodox.net//podcasts/5th-sunday-after-pentecost.xml |||||||||||||
014|6th-sunday-after-pentecost|6th Sunday after Pentecost|||||||||||||||||link:https://www.orthodox.net//podcasts/6th-sunday-after-pentecost.xml |||||||||||||
015|7th-sunday-after-pentecost|7th Sunday after Pentecost|||||||||||||||||link:https://www.orthodox.net//podcasts/7th-sunday-after-pentecost.xml |||||||||||||
016|8th-sunday-after-pentecost|8th Sunday after Pentecost|||||||||||||||||link:https://www.orthodox.net//podcasts/8th-sunday-after-pentecost.xml |||||||||||||
017|9th-sunday-after-pentecost|9th Sunday after Pentecost|||||||||||||||||link:https://www.orthodox.net//podcasts/9th-sunday-after-pentecost.xml |||||||||||||
018|10th-sunday-of-pentecost|10th Sunday of Pentecost|||||||||||||||||link:https://www.orthodox.net//podcasts/10th-sunday-of-pentecost.xml |||||||||||||
019|11th-sunday-of-pentecost|11th Sunday of Pentecost|||||||||||||||||link:https://www.orthodox.net//podcasts/11th-sunday-of-pentecost.xml |||||||||||||
020|12th-sunday-of-pentecost|12th Sunday of Pentecost|||||||||||||||||link:https://www.orthodox.net//podcasts/12th-sunday-of-pentecost.xml |||||||||||||
021|13th-sunday-of-pentecost|13th Sunday of Pentecost|||||||||||||||||link:https://www.orthodox.net//podcasts/13th-sunday-of-pentecost.xml |||||||||||||
022|14th-sunday-of-pentecost|14th Sunday of Pentecost|||||||||||||||||link:https://www.orthodox.net//podcasts/14th-sunday-of-pentecost.xml |||||||||||||
023|15th-sunday-of-pentecost|15th Sunday of Pentecost|||||||||||||||||link:https://www.orthodox.net//podcasts/15th-sunday-of-pentecost.xml |||||||||||||
024|16th-sunday-of-pentecost|16th Sunday of Pentecost|||||||||||||||||link:https://www.orthodox.net//podcasts/16th-sunday-of-pentecost.xml |||||||||||||
025|17th-sunday-of-pentecost|17th Sunday of Pentecost|||||||||||||||||link:https://www.orthodox.net//podcasts/17th-sunday-of-pentecost.xml |||||||||||||
026|18th-sunday-of-pentecost|18th Sunday of Pentecost|||||||||||||||||link:https://www.orthodox.net//podcasts/18th-sunday-of-pentecost.xml |||||||||||||
027|19th-sunday-of-pentecost|19th Sunday of Pentecost|||||||||||||||||link:https://www.orthodox.net//podcasts/19th-sunday-of-pentecost.xml |||||||||||||
028|20th-sunday-of-pentecost|20th Sunday of Pentecost|||||||||||||||||link:https://www.orthodox.net//podcasts/20th-sunday-of-pentecost.xml |||||||||||||
029|21st-sunday-after-pentecost|21st Sunday after Pentecost|||||||||||||||||link:https://www.orthodox.net//podcasts/21st-sunday-after-pentecost.xml |||||||||||||
030|22nd-sunday-after-pentecost|22nd Sunday after Pentecost|||||||||||||||||link:https://www.orthodox.net//podcasts/22nd-sunday-after-pentecost.xml |||||||||||||
031|23rd-sunday-after-pentecost|23rd Sunday after Pentecost|||||||||||||||||link:https://www.orthodox.net//podcasts/23rd-sunday-after-pentecost.xml |||||||||||||
032|24th-sunday-after-pentecost|24th Sunday after Pentecost|||||||||||||||||link:https://www.orthodox.net//podcasts/24th-sunday-after-pentecost.xml |||||||||||||
033|25th-sunday-after-pentecost|25th Sunday after Pentecost|||||||||||||||||link:https://www.orthodox.net//podcasts/25th-sunday-after-pentecost.xml |||||||||||||
