#made from index.txt file
#1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24
#num|file|title|subtitle|subtitle2|year|cat|catnum|subcat|subcatnum|scripture|parable|miracle|txt|mp3|wma|rm|link|comment|synopsis|audiofirst|tooltip|indextitle|note|tag1|tag2|tag3|tag4|tag5|tag6|tag7|tag8|tag9
#1:num|2:file|3:title|4:subtitle|5:subtitle2|6:year|7:cat|8:catnum|9:subcat|10:subcatnum|11:scripture|12:parable|13:miracle|14:txt|15:mp3|16:wma|17:rm|18:link|19:comment|20:synopsis|21:audiofirst|22:tooltip|23:indextitle|24:note|25:tag1|26:tag2|27:tag3|28:tag4|29:tag5|30:tag6|31:tag7|32:tag8|33:tag9
001|prison-ministry-letters_2011-03-04+how-to-think-about-personal-intercessory-prayer-praying-for-enemies-the-jesus-prayer|Prison Ministry (Adobe PDF format)|||||||||||||||||How To Think About Personal Intercessory Prayer Praying For Enemies The Jesus Prayer 2011-03-04 https://www.orthodox.net//prison-ministry/prison-ministry-letters_2011-12-07.doc Prison Ministry (Word DOC format) 2011-12-07 |||||||||||||
002|prison-ministry-letters_2011-12-07+nativity-fast-st-john-chrysostom-on-true-fasting-gleanings-from-the-holy-fathers-on-fasting|Prison Ministry (Word DOC format)|||||||||||||||||Nativity Fast St John Chrysostom On True Fasting Gleanings From The Holy Fathers On Fasting 2011-12-07 |||||||||||||
003|prison-ministry-letters_2011-12-24+jesus-prayer-short-and-ecletic-teaching-about-baptism|Prison Ministry (Word DOC format)|||||||||||||||||Jesus Prayer Short And Ecletic Teaching About Baptism 2011-12-24 |||||||||||||
004|prison-ministry-letters_2014-10-11+the-one-thing-needful-theotokos-empathically-stating-incarnation-protection-of-the-mother-of-god|Prison Ministry (Word DOC format)|||||||||||||||||The One Thing Needful Theotokos Empathically Stating Incarnation Protection Of The Mother Of God 2014-10-11 |||||||||||||
005|prison-ministry-letters_2014-10-25+prayer-then-was-jesus-led-up-by-the-spirit-into-the-wilderness-why-memorize-scripture-darkness-and-light-our-salvation-is-very-near-on-fasting|Prison Ministry (HTML format)|||||||||||||||||Prayer Then Was Jesus Led Up By The Spirit Into The Wilderness Why Memorize Scripture Darkness And Light Our Salvation Is Very Near On Fasting 2014-10-25 https://www.orthodox.net//prison-ministry/prison-ministry-letters_2014-10-30+communion-of-saints-lucian-longinus-hosea-sermon-on-the-mount-beatitudes_matthew5-1-12.html Prison Ministry (HTML format) Communion Of Saints Lucian Longinus Hosea Sermon On The Mount Beatitudes Matthew 5-1-12 2014-10-30 https://www.orthodox.net//prison-ministry/prison-ministry-letters_2014-12-13+thy-will-be-done-as-in-heaven,-so-in-earth+the-nativity-fast_luke11-2.doc Prison Ministry (Word DOC format) Thy Will Be Done As In Heaven, So In Earth The Nativity Fast Luke 11-2 2014-12-13 |||||||||||||
006|prison-ministry-letters_2015-01-12+12-days-of-christmas-how-to-celebrate-a-feast-gleanings-from-the-fathers-on-nativity|Prison Ministry (Adobe PDF format)|||||||||||||||||12 Days Of Christmas How To Celebrate A Feast Gleanings From The Fathers On Nativity 2015-01-12 https://www.orthodox.net//prison-ministry/prison-ministry-letters_2015-02-19+great-lent.doc Prison Ministry (Word DOC format) Great Lent 2015-02-19 |||||||||||||
007|prison-ministry-letters_2015-02-21+purpose-of-great-lent-forgiveness-sunday-we-are-going-to-do-violence-now-why-do-we-fast|Prison Ministry (HTML format)|||||||||||||||||Purpose Of Great Lent Forgiveness Sunday We Are Going To Do Violence Now Why Do We Fast 2015-02-21 https://www.orthodox.net//prison-ministry/prison-ministry-letters_2015-02-26+purpose-of-great-lent+prayer-of-st-ephrem-explained.doc Prison Ministry (Word DOC format) Purpose Of Great Lent Prayer Of St Ephrem Explained 2015-02-26 |||||||||||||
008|prison-ministry-letters_2015-04-09+excerpts-from-letters+purpose-of-life-confessing-the-same-stuff-life-is-simple|Prison Ministry (HTML format)|||||||||||||||||Excerpts From Letters Purpose Of Life Confessing The Same Stuff Life Is Simple 2015-04-09 https://www.orthodox.net//prison-ministry/prison-ministry-letters_2015-06-23+letter-to-prisoners+most-important-life-skill-o-heavenly-king-the-jesus-prayer.html Prison Ministry (HTML format) Letter To Prisoners Most Important Life Skill O Heavenly King The Jesus Prayer 2015-06-23 https://www.orthodox.net//prison-ministry/prison-ministry-letters_2015-07-09+hindrances-to-prayer+how-to-pray-for-others.rtf Prison Ministry (RTF format) Hindrances To Prayer How To Pray For Others 2015-07-09 https://www.orthodox.net//prison-ministry/prison-ministry-letters_2015-07-09+praying-for-the-dead+when-things-are-hard.rtf Prison Ministry (RTF format) Praying For The Dead When Things Are Hard 2015-07-09 https://www.orthodox.net//prison-ministry/prison-ministry-letters_2015-07-14+god-is-holy+exclamations-of-the-priest.doc Prison Ministry (Word DOC format) God Is Holy Exclamations Of The Priest 2015-07-14 |||||||||||||
009|prison-ministry-letters_2015-07-18+impatience-anger-prayer|Prison Ministry (Adobe PDF format)|||||||||||||||||Impatience Anger Prayer 2015-07-18 https://www.orthodox.net//prison-ministry/prison-ministry-letters_2015-09-23+catechumen-service-exorcisms-renunciations-affirmations-the-creed-disposition.html Prison Ministry (HTML format) Catechumen Service Exorcisms Renunciations Affirmations The Creed Disposition 2015-09-23 https://www.orthodox.net//prison-ministry/prison-ministry-letters_2015-09-30+prison-ministry-update.html Prison Ministry (HTML format) Prison Ministry Update 2015-09-30 https://www.orthodox.net//prison-ministry/prison-ministry-letters_2015-10-10+baptism+fire-in-the-belly.doc Prison Ministry (Word DOC format) Baptism Fire In The Belly 2015-10-10 |||||||||||||
010|prison-ministry-letters_2015-10-10+solomon-the-stars|Prison Ministry (Word DOC format)|||||||||||||||||Solomon The Stars 2015-10-10 |||||||||||||
