#made from index.txt file
#1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24
#num|file|title|subtitle|subtitle2|year|cat|catnum|subcat|subcatnum|scripture|parable|miracle|txt|mp3|wma|rm|link|comment|synopsis|audiofirst|tooltip|indextitle|note|tag1|tag2|tag3|tag4|tag5|tag6|tag7|tag8|tag9
#1:num|2:file|3:title|4:subtitle|5:subtitle2|6:year|7:cat|8:catnum|9:subcat|10:subcatnum|11:scripture|12:parable|13:miracle|14:txt|15:mp3|16:wma|17:rm|18:link|19:comment|20:synopsis|21:audiofirst|22:tooltip|23:indextitle|24:note|25:tag1|26:tag2|27:tag3|28:tag4|29:tag5|30:tag6|31:tag7|32:tag8|33:tag9
001|thomas_sunday_1|St Thomas Sunday||||||||||||||||||||||||||||||
002|myrhh_bearers_1|The Holy Myrhh bearers||||||||||||||||||||||||||||||
003|myrhh_bearers_2|More about the Sunday of The Holy Myrhh bearers||||||||||||||||||||||||||||||
004|paralytic_1|The Sunday of the Paralytic||||||||||||||||||||||||||||||
005|samaritan_woman_1|The Sunday of the Samaritan Woman|||||||||||||||||Also in format FORMAT:Word |||||||||||||
006|blind_man_1|The Sunday of the Blind Man||||||||||||||||||||||||||||||
007|ascension_1|The Ascension of Jesus Christ||||||||||||||||||||||||||||||
008|first_ecumenical_council_1|The Sunday of the Fathers of the first Ecumenical Council||||||||||||||||||||||||||||||
009|pentecost_1|Pentecost||||||||||||||||||||||||||||||
010|sunday_of_all_saints_1|The Sunday of All Saints||||||||||||||||||||||||||||||
011|09friape-matthew-21-12-20|9th Friday after Pentecost - Matthew Mat 20:17-28|||||||||||||||||Jesus overturns the moneychangers and curses the fig tree. |||||||||||||
012|matt_14_22-34_walk_on_water_9sunape_1|9th Sunday after Pentecost -Matt 14:22-34|||||||||||||||||Jesus walks on the water |||||||||||||
013|10monape|10th Monday after Pentecost - I Cor 15:12-19, Matt 21:18-22|||||||||||||||||And if Christ be not raised, your faith is vain; ye are yet in your sins Jesus curses the fig tree |||||||||||||
014|10tueape|10th Tuesday after Pentecost - Mat 21:23-27, 1 Cor 15:29-38|||||||||||||||||By what authority doest thou these things?  |||||||||||||
015|10wedape|10th Wednesday after Pentecost - 1 Cor 16:4-12 Matt 21:28-32 |||||||||||||||||The Parable of the two sons and the vineyard |||||||||||||
016|10thuape|10th Thursday after Pentecost - 2Corinthians 1:1-7 Matthew 21:43-46 |||||||||||||||||The stone which the builders rejected,the same is become the head of the corner. |||||||||||||
017|10friape|10th Friday after Pentecost - 2 Corinthians 1:12-20 Matthew                    22:23-33 |||||||||||||||||The same day came to him the Sadducees, which say that there is no resurrection |||||||||||||
