#made from index.txt file
#1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24
#num|file|title|subtitle|subtitle2|year|cat|catnum|subcat|subcatnum|scripture|parable|miracle|txt|mp3|wma|rm|link|comment|synopsis|audiofirst|tooltip|indextitle|note|tag1|tag2|tag3|tag4|tag5|tag6|tag7|tag8|tag9
#1:num|2:file|3:title|4:subtitle|5:subtitle2|6:year|7:cat|8:catnum|9:subcat|10:subcatnum|11:scripture|12:parable|13:miracle|14:txt|15:mp3|16:wma|17:rm|18:link|19:comment|20:synopsis|21:audiofirst|22:tooltip|23:indextitle|24:note|25:tag1|26:tag2|27:tag3|28:tag4|29:tag5|30:tag6|31:tag7|32:tag8|33:tag9
001|abercius-archbishop-and-hieromartyr-of-zhitomir|Abercius, Archbishop And Hieromartyr Of Zhitomir||||||||||||||||||||||||||||||
002|agathangelus-metropolitan-and-hieroconfessor-of-yaroslavl|Agathangelus, Metropolitan And Hieroconfessor Of Yaroslavl||||||||||||||||||||||||||||||
003|agnia-confessor-abbess-of-vasilsursk|Agnia, Confessor-Abbess Of Vasilsursk||||||||||||||||||||||||||||||
004|alexander-orlov-hieroconfessor-of-omsk|Alexander (Orlov), Hieroconfessor Of Omsk ||||||||||||||||||||||||||||||
005|alexander-svir-monastery-monastic-martyrs|Monastic Martyrs Of Alexander Svir Monastery ||||||||||||||||||||||||||||||
006|alexis-bishop-and-hieroconfessor-of-rylsk|Hieroconfessor Alexis, Bishop Of Rylsk||||||||||||||||||||||||||||||
007|alexis-bishop-and-hieromartyr-of-voronezh-and-those-with-him-01-of-05|Alexis, Bishop And Hieromartyr Of Voronezh  And Those With Him||||||||||||||||||||||||||||||
008|ambrose-bishop-and-hieroconfessor-of-podolsk|Ambrose, Bishop And Hieroconfessor Of Podolsk||||||||||||||||||||||||||||||
009|ambrose-bishop-of-mster|Bishop Ambrose Of Mster||||||||||||||||||||||||||||||
010|anatolius-and-demetrius-hieromartyrs-of-kiev-and-those-with-them|Anatolius And Demetrius, Hieromartyrs Of Kiev And Those With Them||||||||||||||||||||||||||||||
011|anatolius-and-seraphim-of-optina-hieroconfessors|Anatolius And Seraphim Of Optina, Hieroconfessors||||||||||||||||||||||||||||||
012|andrew-archbishop-and-hieromartyr-of-ufa-01-of-03|Hieromartyr Andrew, Archbishop Of Ufa ||||||||||||||||||||||||||||||
013|andronicus-archbishop-and-hieromartyr-of-perm-and-those-with-him|Hieromartyr Andronicus, Archbishop Of Perm And Those With Him||||||||||||||||||||||||||||||
014|anthony-galysnky-mikhailovsky-archbishop-and-those-with-him|Archbishop Anthony (Galysnky-Mikhailovsky) And Those With Him||||||||||||||||||||||||||||||
015|anthony-schema-archbishop-and-hieroconfessor-of-tauris-and-those-with-him|Anthony, Schema-Archbishop And Hieroconfessor Of Tauris And Those With Him||||||||||||||||||||||||||||||
016|arcadius-bishop-and-hieromartyrof-lubny|Hieromartyr Arcadius, Bishop Of Lubny||||||||||||||||||||||||||||||
017|arsenius-bishop-and-hieromartyr-of-serpukhov-and-those-with-him|Hieromartyr Arsenius, Bishop Of Serpukhov And Those With Him||||||||||||||||||||||||||||||
018|arsenius-metropolitan-and-hieroconfessor-of-novgorod|Arsenius Metropolitan And Hieroconfessor Of Novgorod||||||||||||||||||||||||||||||
019|athanasius-bishop-and-hieromartyr-of-skvirsk|Athanasius, Bishop And Hieromartyr Of Skvirsk||||||||||||||||||||||||||||||
020|barlaam-archbishop-and-hieromartyr-of-perm|Hieromartyr Barlaam, Archbishop Of Perm||||||||||||||||||||||||||||||
021|barsonuphius-abbot-of-alexandria-and-those-with-him|Barsonuphius, Abbot Of Alexandria And Those With Him||||||||||||||||||||||||||||||
022|barsonuphius-bishop-and-hieroconfessor-of-nikolsk|Barsonuphius, Bishop And Hieroconfessor Of Nikolsk||||||||||||||||||||||||||||||
023|barsonuphius-bishop-and-hieromartyr-of-kirillovsk-and-those-with-him|Hieromartyr Barsonuphius, Bishop Of Kirillovsk And Those With Him||||||||||||||||||||||||||||||
