004|feasts-of-the-saints-01-30_2009-02-12+synaxis-of-the-three-hierachs,-basil-the-great,-gregory-the-theologion,-john-chrysostom|Feasts of the Saints|||2009-02-12|Feasts of the Saints|0000|January 30|0000||||txt||||||Concerning the Parables of Vespers in general, and commentary on the specific parables for the Saints.|||Synaxis of the 3 Hierarchs. Concerning the Parables of Vespers in general, and commentary on the specific parables for the Saints.||Feasts of the Saints|Lives of the Saints|Scripture Commentary|||||
006|feasts-of-the-theotokos_+entry-of-the-theotokos|Feasts of the Theotokos|Entry Of The Theotokos|||Feasts of the Theotokos|0000||0000|||||||||||||||Entry Of The Theotokos|Feasts of the Theotokos|Scripture Commentary|||||
007|great-lent-week-before-great-lent-03-tuesday_2009_2peter2;9-22+mark13;14-23|Week before Sunday of the Prodigal Son;Tuesday|||2009|Weeks before Great Lent|0003||0002|2 Peter 2:9-22, Mark 13:14-23|||txt|||||||||||Mark|Scripture Commentary|Week before Sunday of the Prodigal Son|Week before Sunday of the Prodigal Son;Tuesday|Weeks before Great Lent|||
008|great-lent-week-before-great-lent-03-wednesday_2009_2peter3;1-18+mark13;24-31|Week before Sunday of the Prodigal Son;Wednesday|During a week of not fasting, a time for watchfulness and consideration of last things. ||2009|Weeks before Great Lent|0003||0003|2 Peter 3:1-18, Mark 13:24-31|||txt||||||||||| |Mark|Scripture Commentary|Week before Sunday of the Prodigal Son|Week before Sunday of the Prodigal Son;Wednesday|Weeks before Great Lent||
009|great-lent-week-before-great-lent-04-monday_2009|Week before Sunday of the Last Judgment (Meatfare);Monday|||2009|Weeks before Great Lent|0004||0001|1  John 2:18-3:10 Mark 11:1-11||||||||||||||1 John|John|Mark|Scripture Commentary|Week before Sunday of the Last Judgment (Meatfare)|Week before Sunday of the Last Judgment (Meatfare);Monday||
015|pascha-monday-03_2009-05-04|3th Monday after Pascha|||2009-05-04|Weekday Readings after Pascha|0003||0002|John 4:46-54|||txt||||||The Healing of the Nobleman's Son<BR>How does one glean deep and subtle meanings from scripture?<BR>The superior faith of the Samaritans.<BR>Signs and Wonders.<BR>The Nobleman compared to the Centurion|||||3th Monday after Pascha|John|Scripture Commentary|Weekday Readings after Pascha||||
016|pascha-monday-03_2010-04-19+stoning-of-holy-proto-martyr-stephen_acts6-8-7-5,47-60|3th Monday after Pascha|Stoning Of Holy Proto Martyr Stephen||2010-04-19|Weekday Readings after Pascha|0003||0002|Acts 6-8-7-5,47-60||||||||||||||3th Monday after Pascha|Scripture Commentary|Weekday Readings after Pascha|||||
017|pascha-monday-04_2010+conversion-of-cornelius-the-centurion_acts10-1-16|4th Monday after Pascha|Conversion Of Cornelius The Centurion||2010|Weekday Readings after Pascha|0004||0002|Acts 10-1-16|||||||http://orthodox.net/redeemingthetime/2010/04/27/conversion-of-cornelius-the-centurion-how-to-preach-to-those-outside-the-church-staretz-silouan-the-athonite/|||||||4th Monday after Pascha|Scripture Commentary|Weekday Readings after Pascha|||||
018|pascha-thursday-01_2009-04-23|Bright Thursday|Nicodemus meets Jesus.|Illumination by degrees, but only if we stay in the kitchen!|2009-04-23|Weekday Readings during Paschaltide|0001||0005|John 3:1-15|||txt|||||||||||Bright Thursday|John|Scripture Commentary|Weekday Readings during Paschaltide||||
019|pascha-tuesday-03_2009-05-05|3th Tuesday after Pascha|||2009-05-05|Weekday Readings after Pascha|0003||0003|John 6:27-33|||txt|||||The Bread from Heaven.<BR>There is no temporary, only eternal.<BR>Manna foreshadowed the coming of Jesus Christ, and the Eucharist.||||||3th Tuesday after Pascha|John|Scripture Commentary|Weekday Readings after Pascha||||
020|pascha-week-05-monday_church-lectionary-pedagogical-services-being-called-a-samaritan_john8-42-51|5th Week after Pascha|||church-lectionary-pedagogical-services-being-called-a-samaritan|Weekday Readings after Pascha|0005||0000|John 8-42-51||||||||||||||5th Week after Pascha|John|Scripture Commentary|Weekday Readings after Pascha||||
