#made from index.txt file
#1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24
#num|file|title|subtitle|subtitle2|year|cat|catnum|subcat|subcatnum|scripture|parable|miracle|txt|mp3|wma|rm|link|comment|synopsis|audiofirst|tooltip|indextitle|note|tag1|tag2|tag3|tag4|tag5|tag6|tag7|tag8|tag9
#1:num|2:file|3:title|4:subtitle|5:subtitle2|6:year|7:cat|8:catnum|9:subcat|10:subcatnum|11:scripture|12:parable|13:miracle|14:txt|15:mp3|16:wma|17:rm|18:link|19:comment|20:synopsis|21:audiofirst|22:tooltip|23:indextitle|24:note|25:tag1|26:tag2|27:tag3|28:tag4|29:tag5|30:tag6|31:tag7|32:tag8|33:tag9
001|horologion_matins|Matins|||||||||||||||||FORMATS: FORMAT:RTF FORMAT:PDF |||||||||||||
002|horologion_hours-and-typika_first-hour_third-hour_sixth-hour_ninth-hour_typika|Hours and Typika|||||||||||||||||Contains:First Hour,Third Hour,Sixth Hour,Ninth Hour,Typika FORMATS: FORMAT:RTF FORMAT:PDF |||||||||||||
003|horologion_great-compline|Great Compline|||||||||||||||||FORMATS: FORMAT:RTF FORMAT:PDF |||||||||||||
004|great-compline|Great Compline|||||||||||||||||Served in Great Lent and in the Vigil for certain feasts Contains the stirring prophetical anthem "For God is with us" Formats: FORMAT:PDF FORMAT:RTF FORMAT:HTML |||||||||||||
005|small-compline|Small Compline|||||||||||||||||Served Daily outside Great Lent Many people use this service for their evening prayers Other FORMATs: FORMAT:PDF FORMAT:RTF |||||||||||||
006|midnight-office-mon-sat|Midnight Office for Weekdays and Saturdays|||||||||||||||||Other FORMATs: FORMAT:PDF  FORMAT:RTF |||||||||||||
007|morning-prayers|Morning Prayers for an Orthodox Christian|||||||||||||||||Other FORMATs: FORMAT:PDF FORMAT:RTF FORMAT:PDB:Palm Pilot |||||||||||||
008|evening-prayers|Evening  Prayers for an Orthodox Christian|||||||||||||||||Other FORMATs: FORMAT:PDF  FORMAT:RTF FORMAT:PDB:Palm-Pilot |||||||||||||
009|sluzebnic-vespers-lamplighting-prayers|Vespers Lamplighting prayers |||||||||||||||||Other FORMATs: FORMAT:PDF FORMAT:RTF |||||||||||||
010|sluzebnic-matins-morning-prayers-during-the-six-psalms|Matins morning prayers said privately during the Six Psalms by the priest|||||||||||||||||Other Formats:FORMAT:RTF |||||||||||||
