#made from index.txt file
#1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24
#num|file|title|subtitle|subtitle2|year|cat|catnum|subcat|subcatnum|scripture|parable|miracle|txt|mp3|wma|rm|link|comment|synopsis|audiofirst|tooltip|indextitle|note|tag1|tag2|tag3|tag4|tag5|tag6|tag7|tag8|tag9
#1:num|2:file|3:title|4:subtitle|5:subtitle2|6:year|7:cat|8:catnum|9:subcat|10:subcatnum|11:scripture|12:parable|13:miracle|14:txt|15:mp3|16:wma|17:rm|18:link|19:comment|20:synopsis|21:audiofirst|22:tooltip|23:indextitle|24:note|25:tag1|26:tag2|27:tag3|28:tag4|29:tag5|30:tag6|31:tag7|32:tag8|33:tag9
001|menaion-by-date|Prayers organized by Menaion Date |||||||||||||||||For various feastdays of the Lord, the Theotokos and Saints. Often used in a moleben, or Akathist service |||||||||||||
002|menaion-by-name|The same prayers as above, organized by the name of the Saint, or Celebration||||||||||||||||||||||||||||||
003|prayers-for-a-church-sobor|PRAYERS FOR A CHURCH SOBOR |||||||||||||||||RTF format from the Sluzhebnik of Metropolitan Peter Moghila Other Formats: FORMAT:PDF  |||||||||||||
004|prayers-for-a-church-sobor-s|PRAYERS FOR A CHURCH SOBOR in SLAVONIC|||||||||||||||||RTF format Other Formats: FORMAT:PDF  |||||||||||||
005|moleben-on-nativity|Moleben on Nativity||||||||||||||||||||||||||||||
006|service-of-supplication-for-the-conversion-of-those-who-have-departed-into-error|Service Of Supplication For the Conversion of Those Who Have Departed into Error. To be sung on the Sunday of Orthodoxy and on other needful occasions|||||||||||||||||Other Formats: FORMAT:WORD FORMAT:PDF  |||||||||||||
007|thanksgiving-chrysosom|Prayer of Thanksgiving|||||||||||||||||attributed to St John Chrysostom Other Formats: FORMAT:PDF FORMAT:RTF |||||||||||||
008|of-thanksgiving-by-basil-the-great|A Prayer of Thanksgiving|||||||||||||||||by St Basil the Great Other Formats: FORMAT:PDF FORMAT:RTF |||||||||||||
009|akathist-thanksgiving|The Akathist of Thanksgiving |||||||||||||||||By HIEROMARTYR GRIGORI PETROFF Other Formats: FORMAT:PDF FORMAT:RTF  |||||||||||||
010|sunday-of-the-last-judgment|Prayer on the Sunday of the Last Judgment||||||||||||||||||||||||||||||
011|sunday-1-of-gl|Prayer on the First Sunday of Great Lent||||||||||||||||||||||||||||||
012|nativity-prayer|Prayer For One's Spiritual Children At Christmas Time||||||||||||||||||||||||||||||
013|great-lent-prayer|Prayers at the Beginning of the Great Fast||||||||||||||||||||||||||||||
014|sunday-3-of-gl|Prayers on the 3rd Sunday of Great Lent - The Precious Cross||||||||||||||||||||||||||||||
015|sunday-4-of-gl|Prayer on the 4th Sunday of the Fast - Concerning the Publican and Pharisee||||||||||||||||||||||||||||||
016|sunday-5-of-gl|Prayer on the 5th Sunday of the Fast||||||||||||||||||||||||||||||
017|lazarus-saturday|Prayer on Lazarus Saturday||||||||||||||||||||||||||||||
018|palm-sunday|Prayer on Palm Sunday||||||||||||||||||||||||||||||
019|holy-thursday|Prayer on Holy Thursday||||||||||||||||||||||||||||||
020|to-the-crucified-lord|Prayer to the Lord Jesus Christ, crucified||||||||||||||||||||||||||||||
021|prayer-for-a-woman-with-child|PRAYER FOR A WOMAN WITH CHILD||||||||||||||||||||||||||||||
022|prayer-for-a-woman-when-she-hath-miscarried-her-child|Prayer for a Woman When She Hath Miscarried Her Child |||||||||||||||||From the Orthodox Trebnic |||||||||||||
023|general-categories-for-personal-prayer|General categories for prayer.|||||||||||||||||Everyone has certain things that &quot;resonate&quot; with them. These are the things that resonate with me. The things that resonate with me and you may be different. This is my list. Make it your own, or make a different list, but, without fail, make a list! The world is full of terrible things, but also the beautiful One, Who abides in our hearts. We must pray about these terrible things, and in so doing, we emulate the Beautiful One.  General Categories – the Living &nbsp;&nbsp;&nbsp;Persecuted because of their faith	 &nbsp;&nbsp;&nbsp;Illness	 &nbsp;&nbsp;&nbsp;Grief and loss	 &nbsp;&nbsp;&nbsp;Sexual & sexually related sins	 &nbsp;&nbsp;&nbsp;Secular	 &nbsp;&nbsp;&nbsp;Priests	 &nbsp;&nbsp;&nbsp;Monastics	 &nbsp;&nbsp;&nbsp;Personal sins	 &nbsp;&nbsp;&nbsp;My personal ministry	 General Categories – the Departed	 In addition, this document has:  &nbsp;&nbsp;&nbsp;Various Prayers for the living	 &nbsp;&nbsp;&nbsp;Prayer of St Silouan of Mount Athos:	 &nbsp;&nbsp;&nbsp;Old Believer Prayer Book, pg 	 &nbsp;&nbsp;&nbsp;For all I have judged or wronged	 &nbsp;&nbsp;&nbsp;A small prayer	 &nbsp;&nbsp;&nbsp;A prayer for tears	 &nbsp;&nbsp;&nbsp;Pastoral Attentiveness	 &nbsp;&nbsp;&nbsp;I am a wretch.	 &nbsp;&nbsp;&nbsp;Help my brother and me.	 &nbsp;&nbsp;&nbsp;To pray for someone more diligently:	 Various Prayers for the departed	 &nbsp;&nbsp;&nbsp;O God of Spirits	 &nbsp;&nbsp;&nbsp;Prayer for every departed person	 &nbsp;&nbsp;&nbsp;Troparion for the departed, Tone VIII:	 &nbsp;&nbsp;&nbsp;Kontakion for the departed, Tone VIII, special melody:	 &nbsp;&nbsp;&nbsp;Exapostilaria from the Triodion<br \>	 |||||||||||||
024|prayer-for-all-peoples-of-the-world-according-to-the-model-of-the-prayer-of-saint-silouan-of-mount-athos|Prayer for all the peoples of the world, according to the model of the prayer of St Silouan of Mount Athos. |||||||||||||||||Many petitions for various people (the sick, suffering, unbelievers, persecuted, those suffering from various sins, etc) based upon the prayer: &quot;I pray Thee, O Merciful Lord, for all the peoples of the world, that they may come to know Thee by the Holy Spirit.&quot; |||||||||||||
025|old-believer-to-pray-for-someone-more-diligently|To pray for someone more diligently... From the "Old Believer Prayer Book|||||||||||||||||Also in 4x4 card format: <a href="old-believer-to-pray-for-someone-more-diligently-card.doc">WORD</a> <a href="old-believer-to-pray-for-someone-more-diligently-card.doc">PDF</a>  |||||||||||||
026|a-way-to-pray-for-someone-with-the-jesus-prayer|A way to pray the Jesus prayer for someone. |||||||||||||||||A card with two short prayers (To pray for someone more diligently, and the prayer in the Way of a Pilgrim) and an explanation In two formats: FORMAT:pdf  FORMAT:doc |||||||||||||
027|of-elder-paisios-for-the-whole-world|Prayer of Elder Paisios for the Whole World |||||||||||||||||This prayer of his was given to a convent which had asked the Elder for a prayer rule that could be used by the nuns in their evening vigils. This directive was given to the nuns during the final years of his life. It would be correct to add intentions as your heart directs, and to say this prayer as part of your daily rule. also in format FORMAT:WORD FORMAT:pdf |||||||||||||
