#made from index.txt file
#1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24
#num|file|title|subtitle|subtitle2|year|cat|catnum|subcat|subcatnum|scripture|parable|miracle|txt|mp3|wma|rm|link|comment|synopsis|audiofirst|tooltip|indextitle|note|tag1|tag2|tag3|tag4|tag5|tag6|tag7|tag8|tag9
#1:num|2:file|3:title|4:subtitle|5:subtitle2|6:year|7:cat|8:catnum|9:subcat|10:subcatnum|11:scripture|12:parable|13:miracle|14:txt|15:mp3|16:wma|17:rm|18:link|19:comment|20:synopsis|21:audiofirst|22:tooltip|23:indextitle|24:note|25:tag1|26:tag2|27:tag3|28:tag4|29:tag5|30:tag6|31:tag7|32:tag8|33:tag9
001|the-cell-rule-of-five-hundred-of-the-optina-monastery|The Cell Rule of Five Hundred of the Optina Monastery||||||||||||||||||||||||||||||
002|seven-bow-beginning|The Seven Bow Beginning|||||||||||||||||Before any rule of private prayer |||||||||||||
003|lectionary-for-the-kellia|Lectionary for the Kellia||||||||||||||||||||||||||||||
004|pravilo-rule-for-communion-for-the-unlettered|Pravilo (Rule for preparation for communion) for the unlettered||||||||||||||||||||||||||||||
005|read-bible-in-a-year|Read the Bible in a Year |||||||||||||||||By reading one chapter a day out of each of 8 sections of the Bible. |||||||||||||
006|index|Current Julian Calendar |||||||||||||||||PDF Format |||||||||||||
007|index|S. V. Bulgakov, Handbook for Church Servers|||||||||||||||||Translated by  Fr. Eugene Tarris Offsite |||||||||||||
008|index|Great Lent materials (including the typicon)||||||||||||||||||||||||||||||
009|index|Pascha materials (including the typicon)||||||||||||||||||||||||||||||
010|calendar|Dates of Great Lent and Pascha through 2010||||||||||||||||||||||||||||||
011|bulgakov-preparation-for-great-lent|Preparation for Great Lent||||||||||||||||||||||||||||||
012|bulgakov-sunday-prodigal-son|Sunday of the Prodigal Son||||||||||||||||||||||||||||||
013|bulgakov-meatfare-week|Meatfare Week, Meatfare Saturday and the Commemoration of the Departed||||||||||||||||||||||||||||||
014|bulgakov-meatfare-sunday|Sunday of Meatfare or of the Last Judgment||||||||||||||||||||||||||||||
015|bulgakov-cheesfare-saturday|Saturday before Cheesefare|||||||||||||||||Commemoration of the Ascetics |||||||||||||
016|bulgakov-cheesfare-sunday|Cheesefare Sunday||||||||||||||||||||||||||||||
017|bulgakov-second-week-great-lent|The Second Week of Great Lent||||||||||||||||||||||||||||||
018|bulgakov-fourth-week-great-lent|The Fourth Week of Great Lent||||||||||||||||||||||||||||||
019|bulgakov-pentecost|Russian Orthodox Typicon Notes &amp; Explanation for Pentecost from the Bulgakov Handbook||||||||||||||||||||||||||||||
020|instructions-to-readers|INSTRUCTION TO THE CANTOR [1] ON HOW TO READ IN CHURCH|||||||||||||||||Compiled in accordance with the teaching of the holy fathers and ascetics, according to the directions of the church Typicon and on the basis of the Russian Orthodox Church's centuries-old experience in the divine services.  |||||||||||||
021|readers-services-by-ab-averky|Comments on Reader Services by Archbishop Averky, of blessed memory||||||||||||||||||||||||||||||
